date,entry_time,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr
2025-07-03,10:40,LONG,21.76,1,4.633,58.25,0,86.84,-0.0983,1,374.5,1,1,1,24.5
2025-07-03,13:00,LONG,38.76,1,7.63,61.75,0,79.5,-0.0697,1,378.0,1,1,1,15.3
2025-07-08,10:30,LONG,-91.24,0,0.417,24.79,0,52.7,0.0045,0,-15.5,1,0,0,30.0
2025-07-08,11:00,LONG,88.26,1,1.052,26.25,0,50.85,0.0697,0,-40.0,0,0,0,35.2
2025-07-09,10:30,LONG,11.26,1,0.68,17.58,0,66.21,0.4581,1,91.0,1,1,1,30.2
2025-07-09,11:25,LONG,3.76,1,0.046,9.93,0,59.97,0.3687,1,72.0,1,1,1,32.3
2025-07-10,10:45,LONG,-0.74,0,3.101,27.12,0,44.8,0.1033,0,-45.5,0,0,0,32.2
2025-07-14,10:35,LONG,121.26,1,0.031,11.58,0,70.49,-0.2814,1,40.0,1,1,1,40.3
2025-07-14,11:10,LONG,19.76,1,2.434,6.48,0,76.79,-0.2406,1,105.8,1,1,1,26.5
2025-07-15,10:30,LONG,-104.74,0,0.978,38.0,0,66.7,0.1258,1,216.0,1,1,1,34.5
2025-07-15,11:20,LONG,-91.74,0,1.517,26.0,0,51.4,0.131,1,204.0,1,1,1,30.2
2025-07-16,10:30,LONG,-102.74,0,1.781,18.58,0,52.0,0.0073,0,-177.8,0,0,0,33.8
2025-07-16,11:00,LONG,-103.24,0,1.699,21.08,0,47.95,-0.0944,0,-175.2,1,0,0,34.0
2025-07-17,10:30,LONG,104.26,1,2.415,12.25,0,70.95,0.3078,1,181.0,1,1,1,29.5
2025-07-17,11:15,LONG,35.26,1,5.182,28.0,0,79.63,0.2748,1,233.2,1,1,1,23.8
2025-07-18,11:45,LONG,-60.74,0,2.723,37.31,0,45.28,-0.0777,1,154.0,0,1,0,19.8
2025-07-21,10:45,LONG,-67.74,0,6.192,23.25,0,73.66,0.4182,1,193.0,1,1,1,22.2
2025-07-21,13:05,LONG,1.76,1,10.714,24.25,0,76.23,0.2924,1,205.8,1,1,1,14.0
2025-07-22,10:30,LONG,-0.74,0,3.281,21.67,0,34.25,0.2148,0,-75.2,0,0,0,43.7
2025-07-22,13:00,LONG,-0.74,0,7.004,23.67,0,35.5,0.1506,0,-73.2,0,0,0,20.2
2025-07-23,10:50,LONG,182.26,1,2.234,36.17,0,47.97,-0.1754,1,26.2,0,0,0,30.7
2025-07-23,13:00,LONG,-0.74,0,1.131,7.08,0,49.62,-0.0674,1,69.5,0,0,0,22.3
2025-07-24,10:35,LONG,20.26,1,0.627,8.83,0,37.69,-0.312,1,129.5,0,1,0,33.5
2025-07-24,13:00,LONG,174.76,1,0.222,12.92,0,49.38,-0.2576,1,153.8,0,1,0,14.7
2025-07-30,10:30,LONG,-78.24,0,1.091,9.0,0,61.95,-0.1282,0,-99.2,1,0,0,25.7
2025-07-30,11:20,LONG,45.76,1,0.686,22.25,0,56.14,-0.1202,0,-112.5,1,0,0,21.5
2025-08-01,10:30,SHORT,55.76,1,1.387,32.0,0,33.54,0.0835,0,-694.5,0,0,1,57.5
2025-08-01,10:40,SHORT,7.26,1,2.377,81.0,0,29.33,0.0722,0,-743.5,0,0,1,54.2
2025-08-04,10:40,LONG,-0.74,0,4.016,6.0,0,83.09,0.3629,1,275.2,1,1,1,31.5
2025-08-04,10:55,LONG,81.76,1,3.946,11.5,0,81.96,0.0099,1,269.8,1,1,1,30.7
2025-08-06,10:30,LONG,88.26,1,0.692,16.92,0,72.79,-0.3292,1,25.2,1,0,0,51.7
2025-08-06,10:55,LONG,82.26,1,2.532,47.08,0,78.52,-0.2918,1,103.0,1,1,1,44.8
2025-08-08,10:45,LONG,-88.24,0,4.948,8.86,0,65.76,0.2148,1,78.2,1,1,1,29.0
2025-08-08,11:40,LONG,124.26,1,3.75,15.62,0,58.27,0.3143,1,13.5,1,1,1,21.0
2025-08-11,10:30,LONG,34.26,1,1.193,3.75,0,53.8,-0.2089,1,112.2,1,1,1,26.8
2025-08-11,13:00,LONG,-53.24,0,1.688,6.5,0,48.12,-0.1804,1,109.5,1,1,1,17.3
2025-08-12,10:30,LONG,-0.74,0,0.282,19.42,0,60.65,0.2318,1,25.5,1,1,1,49.7
2025-08-12,11:00,LONG,98.26,1,1.626,5.79,0,62.48,0.2231,1,69.8,1,1,1,35.8
2025-08-15,10:35,LONG,-121.24,0,1.519,4.5,1,43.43,0.0996,0,-24.0,0,0,0,40.0
2025-08-15,13:15,SHORT,-59.74,0,6.141,29.0,0,28.69,0.0832,0,-83.0,0,0,1,19.5
2025-08-20,11:20,LONG,-0.74,0,5.182,15.92,0,38.32,0.326,0,-502.5,0,0,0,40.7
2025-08-22,10:30,LONG,-0.74,0,4.321,4.0,0,81.13,0.142,1,378.2,1,1,1,75.3
2025-08-22,11:50,LONG,-89.74,0,10.839,1.75,0,80.09,0.0895,1,372.5,1,1,1,29.5
2025-08-26,10:30,LONG,-4.24,0,1.816,9.0,0,75.64,-0.4535,1,51.8,1,1,1,34.8
2025-08-26,13:00,LONG,-74.24,0,5.836,1.25,0,71.45,-0.4633,1,59.5,1,1,1,12.2
2025-08-28,10:30,LONG,95.76,1,0.413,5.58,0,73.77,0.0169,1,152.0,1,1,1,50.8
2025-08-28,11:05,LONG,-0.74,0,2.162,26.42,0,75.85,0.059,1,204.5,1,1,1,34.0
2025-09-02,10:40,SHORT,151.26,1,1.543,63.92,0,29.85,0.1707,0,-270.2,0,0,1,52.8
2025-09-02,13:15,SHORT,-68.24,0,1.164,36.42,0,32.25,0.2011,0,-325.8,0,0,1,22.3
2025-09-03,13:10,LONG,-69.24,0,0.96,14.25,0,62.61,-0.136,1,382.0,1,1,1,22.7
2025-09-04,10:30,LONG,-0.74,0,0.42,1.12,0,48.71,-0.198,1,79.5,1,1,1,43.5
2025-09-04,10:45,LONG,-0.74,0,1.031,2.64,0,53.27,-0.2094,1,100.2,1,1,1,37.8
2025-09-08,10:30,LONG,-0.74,0,2.141,13.07,0,70.24,-0.1379,1,224.8,1,1,1,34.3
2025-09-08,11:00,LONG,-76.74,0,3.099,17.57,0,70.33,-0.1238,1,229.2,1,1,1,25.2
2025-09-09,13:05,LONG,5.76,1,0.539,8.42,0,51.27,-0.0976,1,46.8,1,1,1,14.8
2025-09-10,10:30,LONG,-108.24,0,0.827,30.17,0,62.46,-0.0549,1,162.0,1,1,1,35.7
2025-09-11,10:30,LONG,37.26,1,0.619,5.94,0,75.34,-0.0591,1,31.2,1,1,1,33.5
2025-09-11,13:00,LONG,72.76,1,1.885,9.69,0,69.69,-0.0415,1,35.0,1,1,1,13.0
2025-09-15,10:30,LONG,-0.74,0,2.643,16.17,0,73.89,-0.0424,1,195.8,1,1,1,23.8
2025-09-15,11:25,LONG,22.76,1,4.035,3.17,0,76.83,-0.0791,1,208.8,1,1,1,18.8
2025-09-16,13:10,LONG,1.76,1,4.191,4.3,0,40.11,-0.0626,1,104.8,0,1,0,11.3
2025-09-17,11:30,SHORT,31.76,1,5.465,12.67,0,24.65,0.1521,0,-126.5,0,0,1,19.2
2025-09-18,10:35,LONG,-0.74,0,2.233,56.08,0,74.07,0.1818,1,459.0,1,1,1,36.8
2025-09-18,11:50,LONG,37.76,1,2.273,34.83,0,70.47,0.1625,1,437.8,1,1,1,26.8
