date,trade_idx,side,entry_time,pnl,win,ovn_pos,daily_bias,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2025-02-10,1,LONG,13:00,8.76,1,0.928,LONG,6.321,13.36,0,86.96,-0.0764,1,48.8,1,1,1,16.3,34.9,325.6,3,1,169.5,0,0.11
2025-02-12,0,SHORT,11:25,-118.24,0,0.12,SHORT,2.929,28.91,0,39.44,0.1584,0,-75.2,0,0,1,39.0,36.4,199.9,2,0,-134.6,0,0.18
2025-02-13,0,LONG,10:30,92.26,1,0.669,BOTH,2.456,43.5,0,62.53,-0.3607,1,425.8,1,1,1,49.7,43.5,367.2,0,1,259.8,0,0.12
2025-02-13,1,LONG,10:50,-116.74,0,0.669,BOTH,4.331,1.25,0,66.33,-0.2883,1,470.5,1,1,1,38.5,194.5,412.0,1,1,304.5,0,0.47
2025-02-18,0,LONG,11:05,-15.24,0,0.549,BOTH,1.846,8.61,0,40.1,-0.1294,1,78.5,0,0,0,34.0,8.6,82.1,5,1,36.8,0,0.1
2025-02-20,0,SHORT,10:40,125.26,1,0.639,BOTH,3.082,13.17,0,35.92,0.2164,0,-132.2,0,0,1,49.0,13.2,238.0,1,0,-168.6,0,0.06
2025-02-20,1,SHORT,11:55,-100.24,0,0.639,BOTH,5.424,14.83,0,30.35,0.2105,0,-160.2,0,0,1,33.0,57.3,266.0,1,0,-196.6,0,0.22
2025-02-21,0,SHORT,11:50,121.76,1,0.581,BOTH,6.113,11.5,0,28.46,-0.2014,0,-24.5,0,0,1,35.5,11.5,228.5,3,0,-123.0,0,0.05
2025-02-24,0,SHORT,10:40,-0.74,0,0.627,BOTH,4.596,31.75,0,25.38,0.0306,0,-682.2,0,0,1,59.7,150.8,553.0,1,0,-370.5,0,0.27
2025-02-24,1,LONG,11:25,-0.74,0,0.627,BOTH,3.881,4.62,1,34.63,0.0743,0,-567.8,0,0,0,41.2,438.5,4.6,1,0,-256.0,0,95.33
2025-02-25,0,SHORT,11:05,121.76,1,0.63,BOTH,5.054,43.25,0,22.44,-0.0409,0,-458.0,0,0,1,63.2,43.2,665.2,0,0,-525.8,0,0.06
2025-02-25,1,LONG,11:55,201.26,1,0.63,BOTH,4.314,62.25,0,30.8,0.0101,0,-359.5,0,0,0,51.2,566.7,141.8,0,0,-427.2,0,4.0
2025-02-26,0,LONG,10:30,-0.74,0,0.512,BOTH,1.327,41.31,0,72.01,-0.2273,1,255.5,1,1,1,55.0,41.3,269.6,0,1,114.2,0,0.15
2025-02-27,0,SHORT,11:00,-223.74,0,0.842,BOTH,4.17,7.0,0,36.91,0.2426,0,-185.8,0,0,1,74.2,7.0,297.3,2,0,-165.5,0,0.02
2025-02-27,1,LONG,11:20,-186.74,0,0.842,BOTH,3.42,64.04,0,45.94,0.2749,0,-88.0,0,0,0,61.8,199.5,64.0,0,0,-67.8,0,3.12
2025-02-28,0,LONG,10:30,-245.24,0,0.434,BOTH,1.94,55.16,0,63.72,-0.229,0,-204.0,1,0,0,81.3,428.9,55.2,0,0,-198.6,0,7.77
2025-02-28,1,LONG,11:35,-0.74,0,0.434,BOTH,2.241,15.41,0,62.88,-0.1626,0,-243.8,1,0,0,52.7,468.7,15.4,1,0,-238.3,0,30.44
