date,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2024-01-19,LONG,105.26,1,0.247,28.5,0,60.91,-0.3126,1,176.5,1,1,1,30.3,28.5,205.0,3,1,144.0,0,0.14
2024-01-19,LONG,127.76,1,3.116,31.0,0,70.51,-0.2699,1,236.0,1,1,1,21.5,80.5,264.5,1,1,203.5,0,0.3
2024-01-22,LONG,-54.74,0,0.953,12.11,0,43.33,-0.1367,1,327.5,0,1,0,17.8,12.1,261.6,3,1,162.2,1,0.05
2024-01-23,LONG,-92.74,0,0.484,24.25,0,48.78,-0.3762,0,-1.0,1,0,0,30.5,81.7,33.2,2,0,-24.2,0,2.46
2024-01-23,LONG,28.26,1,1.344,24.24,0,48.8,-0.3394,0,-10.0,0,0,0,17.7,90.7,24.2,2,0,-33.2,0,3.75
2024-01-24,LONG,-0.74,0,1.115,49.67,0,90.92,-0.0025,1,283.8,1,1,1,24.7,999.0,276.7,0,1,237.1,0,
2024-01-24,LONG,91.26,1,0.104,24.67,0,74.72,0.1462,1,258.8,1,1,1,24.0,999.0,251.7,1,1,212.1,0,
2024-01-25,LONG,-0.74,0,0.473,19.17,0,70.49,0.1365,1,54.2,1,1,1,28.0,38.9,81.1,2,1,19.2,0,0.48
2024-01-26,LONG,-0.74,0,1.325,34.75,0,62.62,0.0652,0,-106.0,1,1,1,28.5,115.1,45.6,1,0,-34.8,0,2.52
2024-01-26,LONG,-69.74,0,2.036,26.0,0,62.11,-0.037,0,-97.2,1,1,1,22.8,106.3,54.3,1,0,-26.0,0,1.96
2024-01-29,LONG,121.76,1,0.329,10.0,0,54.96,-0.2392,1,1.5,1,1,1,20.5,59.8,39.8,2,0,-10.0,0,1.5
2024-01-30,SHORT,27.26,1,0.277,30.35,0,34.39,-0.0682,1,90.2,0,1,0,21.7,88.5,30.3,2,1,31.2,0,2.92
2024-01-30,SHORT,-0.24,0,4.652,17.75,0,25.43,0.047,1,19.5,0,0,1,16.5,17.8,101.1,3,0,-39.5,0,0.18
2024-02-01,LONG,-92.74,0,1.623,17.17,0,58.27,-0.2082,1,28.5,1,0,0,30.5,75.1,109.4,1,1,17.2,0,0.69
2024-02-01,LONG,101.26,1,0.541,19.08,0,50.62,-0.0384,0,-7.8,1,0,0,24.5,111.3,73.2,1,0,-19.1,0,1.52
2024-02-02,LONG,-0.74,0,2.765,47.25,0,49.26,-0.061,1,303.0,1,1,1,39.3,71.8,301.8,0,1,234.0,0,0.24
2024-02-02,LONG,123.76,1,3.735,53.5,0,52.32,-0.0296,1,321.2,1,1,1,34.0,53.5,320.0,0,1,252.2,0,0.17
2024-02-06,SHORT,-0.74,0,6.471,5.72,0,29.2,0.0908,0,-128.8,0,0,1,22.8,5.7,140.4,3,0,-67.3,0,0.04
