date,side,pnl,win,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2023-01-04,LONG,184.76,1,1.505,28.83,0,47.24,-0.1466,0,-142.8,0,0,0,46.2,157.8,100.1,1,0,-28.8,0,1.58
2023-01-04,LONG,-65.24,0,0.621,53.92,0,64.54,-0.043,0,-60.0,1,1,1,21.3,75.0,182.8,0,1,53.9,0,0.41
2023-01-06,LONG,175.26,1,0.583,1.5,0,56.02,0.0273,1,46.5,1,1,1,57.5,11.8,100.7,4,1,57.8,1,0.12
2023-01-09,LONG,14.26,1,5.314,41.83,0,80.96,0.3117,1,523.5,1,1,1,25.5,94.3,441.3,0,1,305.2,0,0.21
2023-01-09,LONG,-90.24,0,9.893,53.08,0,75.28,0.2542,1,534.8,1,1,1,14.8,83.1,452.6,0,1,316.4,0,0.18
2023-01-10,SHORT,-139.24,0,0.266,7.92,0,43.92,-0.1478,0,-91.2,0,0,1,46.0,59.7,198.9,3,0,-131.3,0,0.3
2023-01-10,LONG,38.26,1,1.743,23.88,0,64.07,-0.0993,0,-9.0,1,1,1,40.2,116.7,23.9,1,0,-49.1,0,4.88
2023-01-11,LONG,89.26,1,0.965,23.0,0,70.23,-0.1983,1,161.5,1,1,1,30.8,23.0,201.6,2,1,139.5,0,0.11
2023-01-11,LONG,-81.24,0,7.237,43.75,0,77.88,0.018,1,228.2,1,1,1,13.3,49.5,268.3,0,1,206.2,0,0.18
2023-01-12,LONG,-0.74,0,0.466,2.96,0,49.36,-0.1868,1,144.8,0,1,0,55.8,3.0,126.1,4,1,73.4,1,0.02
2023-01-12,LONG,156.26,1,0.685,5.32,0,48.28,-0.1979,1,135.0,0,1,0,52.2,12.7,116.3,4,1,63.7,0,0.11
2023-01-18,SHORT,-53.24,0,11.784,5.83,0,28.41,0.0516,0,-155.5,0,0,1,17.3,5.8,181.8,1,0,-129.9,0,0.03
2023-01-19,SHORT,-90.74,0,2.422,22.17,0,20.84,-0.0615,0,-359.2,0,0,1,29.8,22.2,359.6,1,0,-254.1,0,0.06
2023-01-19,SHORT,-0.74,0,1.95,39.17,0,25.26,-0.0422,0,-342.2,0,0,1,28.3,39.2,342.6,1,0,-237.1,0,0.11
2023-01-20,LONG,86.26,1,1.937,0.11,0,66.33,-0.11,1,92.8,1,1,1,29.2,55.7,146.1,4,1,90.3,0,0.38
2023-01-20,LONG,-79.24,0,8.673,0.58,0,75.07,-0.1516,1,149.0,1,1,1,13.0,85.3,202.4,1,1,146.6,0,0.42
2023-01-23,LONG,137.26,1,7.122,0.75,0,86.91,0.0974,1,459.8,1,1,1,23.2,0.8,390.8,1,1,292.0,0,0.0
2023-01-23,LONG,-0.74,0,8.819,41.5,0,88.58,0.0769,1,502.0,1,1,1,23.5,152.5,433.0,0,1,334.2,0,0.35
2023-01-25,SHORT,-106.74,0,2.495,103.92,0,21.96,-0.3204,0,-289.2,0,0,1,35.2,999.0,315.8,0,0,-272.3,0,
2023-01-25,SHORT,-92.74,0,1.623,65.67,0,28.12,-0.2092,0,-251.0,0,0,1,30.5,999.0,277.5,0,0,-234.1,0,
