date,side,pnl,win,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2026-01-15,LONG,-0.74,0,74.7,436.7,0,1,295.3,0,0.17
2026-01-16,LONG,-94.24,0,166.2,0.0,2,0,-85.2,0,
2026-01-16,LONG,-66.24,0,168.2,24.4,2,0,-87.2,0,6.89
2026-01-21,LONG,112.26,1,5.1,308.2,2,1,188.5,1,0.02
2026-01-21,LONG,-102.24,0,117.0,315.9,2,1,196.2,0,0.37
2026-01-22,LONG,-0.74,0,34.2,362.8,1,1,166.2,0,0.09
2026-01-22,LONG,104.76,1,30.5,366.5,1,1,170.0,0,0.08
2026-01-26,LONG,-0.74,0,26.1,256.9,3,1,148.8,0,0.1
2026-01-26,LONG,-0.74,0,101.9,289.2,3,1,181.1,0,0.35
2026-01-29,LONG,124.76,1,472.0,999.0,0,0,-393.9,0,
2026-01-30,LONG,-0.74,0,227.5,262.5,1,1,17.5,0,0.87
2026-02-02,LONG,92.76,1,19.0,307.8,3,1,166.2,0,0.06
2026-02-02,LONG,-0.74,0,20.5,350.0,2,1,208.5,1,0.06
2026-02-03,SHORT,106.26,1,18.3,390.5,2,0,-234.3,1,0.05
2026-02-03,SHORT,-0.74,0,125.9,439.0,1,0,-282.8,0,0.29
2026-02-05,SHORT,-0.74,0,127.3,705.3,0,0,-475.2,0,0.18
2026-02-05,SHORT,-279.74,0,206.1,626.6,1,0,-396.4,0,0.33
2026-02-06,LONG,-0.74,0,35.2,338.7,3,1,176.7,0,0.1
2026-02-06,LONG,177.26,1,15.1,309.0,1,1,146.9,0,0.05
2026-02-10,LONG,-0.74,0,51.2,296.8,0,1,129.7,0,0.17
2026-02-10,LONG,-15.74,0,68.0,280.1,0,1,112.9,0,0.24
2026-02-11,LONG,-228.74,0,123.8,22.6,1,0,-54.5,0,5.48
2026-02-11,LONG,91.26,1,137.5,8.8,2,0,-68.2,0,15.62
2026-02-12,SHORT,120.76,1,14.3,345.1,3,0,-189.4,0,0.04
2026-02-13,LONG,101.26,1,468.7,48.8,1,0,-247.6,0,9.6
2026-02-13,LONG,-0.74,0,429.2,18.3,1,0,-208.1,0,23.45
2026-02-18,LONG,96.26,1,135.1,473.3,2,1,305.2,0,0.29
2026-02-18,LONG,-0.74,0,71.1,537.3,0,1,369.2,0,0.13
2026-02-19,SHORT,102.26,1,98.2,189.5,0,0,-45.7,0,0.52
2026-02-19,SHORT,-118.24,0,40.8,291.2,1,0,-147.4,0,0.14
2026-02-20,SHORT,-0.74,0,225.7,69.8,2,1,144.0,0,3.23
2026-02-23,SHORT,160.76,1,44.5,309.0,0,0,-132.2,0,0.14
2026-02-23,SHORT,97.76,1,20.1,388.0,3,0,-211.2,0,0.05
2026-02-25,LONG,46.26,1,15.7,518.8,1,1,371.1,0,0.03
2026-02-25,LONG,76.76,1,198.6,568.3,1,1,420.6,0,0.35
2026-02-27,SHORT,-0.74,0,32.4,334.3,1,0,-150.9,0,0.1
2026-02-27,SHORT,-81.24,0,5.7,361.0,1,0,-177.7,0,0.02
2026-03-05,SHORT,-201.24,0,69.1,239.2,0,0,-85.1,0,0.29
2026-03-05,SHORT,218.76,1,170.6,137.7,1,1,16.4,0,1.24
2026-03-09,LONG,114.76,1,450.1,137.4,1,0,-331.9,0,3.28
2026-03-10,LONG,84.76,1,223.8,643.7,0,1,476.8,0,0.35
2026-03-10,LONG,-0.74,0,150.3,717.2,0,1,550.3,0,0.21
2026-03-11,LONG,-187.24,0,111.6,136.9,1,1,12.7,0,0.82
2026-03-16,LONG,-0.74,0,2.0,342.4,2,1,169.8,0,0.01
2026-03-16,LONG,-0.74,0,2.5,341.9,2,1,169.2,0,0.01
2026-03-17,LONG,-128.24,0,999.0,444.2,0,1,362.5,0,
2026-03-17,LONG,0.76,1,999.0,404.0,1,1,322.2,0,
2026-03-18,SHORT,-154.74,0,76.8,248.9,1,0,-184.5,0,0.31
2026-03-18,SHORT,-0.74,0,51.2,181.6,3,0,-117.2,0,0.28
2026-03-19,SHORT,83.76,1,53.2,470.8,0,0,-374.4,0,0.11
2026-03-19,SHORT,-117.74,0,999.0,544.1,1,0,-447.7,0,
2026-03-20,SHORT,107.76,1,51.9,455.6,0,0,-315.3,0,0.11
2026-03-20,SHORT,85.76,1,120.1,521.1,1,0,-380.8,0,0.23
2026-03-23,LONG,-0.74,0,4.6,583.5,1,1,420.9,0,0.01
2026-03-23,LONG,-147.24,0,137.4,599.5,1,1,436.9,0,0.23
2026-03-24,SHORT,-214.74,0,93.2,438.8,0,0,-291.8,0,0.21
2026-03-24,SHORT,-0.74,0,109.5,422.6,1,0,-275.5,0,0.26
2026-03-25,LONG,-168.24,0,31.8,313.7,1,1,218.2,0,0.1
2026-03-25,LONG,83.26,1,1.3,248.7,3,1,153.2,1,0.01
2026-03-27,SHORT,-0.74,0,222.1,614.4,0,0,-470.3,0,0.36
2026-03-27,SHORT,-0.74,0,215.6,620.9,0,0,-476.8,0,0.35
2026-03-30,LONG,-0.74,0,185.0,77.0,0,0,-58.5,0,2.4
2026-03-30,LONG,-0.74,0,176.0,86.0,0,0,-49.5,0,2.05
2026-03-31,LONG,-181.24,0,148.1,543.3,0,1,352.2,0,0.27
2026-03-31,LONG,27.76,1,54.0,446.3,1,1,255.2,0,0.12
2026-04-01,LONG,152.26,1,66.0,615.0,0,1,443.0,0,0.11
2026-04-01,LONG,-0.74,0,325.8,692.2,1,1,520.2,0,0.47
2026-04-06,LONG,-207.24,0,30.3,553.1,3,1,327.8,0,0.05
2026-04-08,LONG,-0.74,0,999.0,1091.5,0,1,953.3,0,
2026-04-09,LONG,91.76,1,150.3,98.2,1,0,-26.1,0,1.53
2026-04-09,LONG,185.26,1,127.8,120.7,1,0,-3.6,0,1.06
2026-04-10,LONG,-0.74,0,97.5,322.8,2,1,206.8,0,0.3
2026-04-14,LONG,201.76,1,42.7,549.3,0,1,444.4,0,0.08
2026-04-14,LONG,83.26,1,999.0,629.8,1,1,524.9,0,
2026-04-16,LONG,-0.74,0,5.1,293.1,2,1,168.7,0,0.02
2026-04-16,LONG,92.26,1,110.3,361.6,2,1,237.2,0,0.31
2026-04-17,LONG,83.26,1,73.6,474.7,0,1,365.1,0,0.16
2026-04-17,LONG,-0.74,0,38.6,509.7,1,1,400.1,0,0.08
2026-04-20,SHORT,-0.74,0,2.5,251.0,3,0,-154.2,1,0.01
2026-04-20,SHORT,-149.74,0,20.2,200.0,3,0,-103.2,0,0.1
2026-04-21,LONG,-127.24,0,11.5,229.2,4,1,131.0,0,0.05
2026-04-21,SHORT,-115.74,0,11.9,184.4,2,0,-86.2,0,0.06
2026-04-22,LONG,-0.74,0,58.8,335.0,0,1,226.2,0,0.18
2026-04-22,LONG,-0.74,0,46.8,347.0,0,1,238.2,0,0.13
2026-04-23,LONG,110.76,1,17.6,161.8,1,1,74.9,0,0.11
2026-04-23,LONG,-0.74,0,85.6,243.6,3,1,156.7,0,0.35
2026-04-24,LONG,151.76,1,156.8,501.1,1,1,319.2,0,0.31
2026-04-24,LONG,90.26,1,62.5,595.3,0,1,413.5,0,0.1
2026-04-30,LONG,163.76,1,46.4,95.2,1,1,28.8,0,0.49
2026-04-30,LONG,-0.74,0,47.7,215.7,2,1,149.3,0,0.22
2026-05-01,LONG,-0.74,0,75.1,505.6,0,1,360.2,0,0.15
2026-05-01,LONG,96.26,1,86.6,494.1,0,1,348.7,0,0.18
2026-05-04,LONG,-0.74,0,24.7,206.4,1,1,90.8,0,0.12
2026-05-04,LONG,-128.74,0,25.5,205.6,1,1,90.1,0,0.12
2026-05-05,LONG,13.76,1,139.9,474.0,1,1,349.2,0,0.3
2026-05-05,LONG,85.76,1,136.4,477.5,1,1,352.7,0,0.29
2026-05-06,LONG,81.76,1,999.0,452.8,1,1,374.5,0,
2026-05-06,LONG,-0.74,0,999.0,518.0,0,1,439.8,0,
2026-05-08,LONG,-0.74,0,134.8,569.8,1,1,420.2,0,0.24
2026-05-08,LONG,114.26,1,105.0,599.6,0,1,450.0,0,0.18
2026-05-11,LONG,126.76,1,32.0,357.9,2,1,196.6,0,0.09
2026-05-11,LONG,78.76,1,21.5,422.4,3,1,261.1,1,0.05
2026-05-13,LONG,108.26,1,28.2,460.9,3,1,249.1,0,0.06
2026-05-13,LONG,82.76,1,46.3,508.2,2,1,296.3,0,0.09
2026-05-14,SHORT,-121.74,0,404.7,16.9,1,1,228.1,0,23.95
2026-05-18,SHORT,-0.74,0,105.5,443.8,0,0,-292.0,0,0.24
2026-05-18,SHORT,233.76,1,76.0,473.3,0,0,-321.5,0,0.16
2026-05-19,SHORT,96.76,1,14.2,506.7,3,0,-299.4,0,0.03
2026-05-19,SHORT,-0.74,0,32.5,446.2,2,0,-238.9,0,0.07
2026-05-20,LONG,90.76,1,17.5,444.0,3,1,267.0,1,0.04
2026-05-20,LONG,255.26,1,153.5,486.7,2,1,309.8,0,0.32
2026-05-22,LONG,154.76,1,22.0,404.5,3,1,241.6,1,0.05
2026-05-22,LONG,-111.74,0,90.7,498.8,0,1,335.8,0,0.18
2026-05-26,LONG,-0.74,0,999.0,564.3,0,1,465.9,0,
2026-05-26,LONG,-123.74,0,999.0,559.5,0,1,461.2,0,
2026-05-27,SHORT,-143.74,0,13.5,210.0,2,0,-98.2,0,0.06
2026-05-29,LONG,-149.74,0,7.1,412.2,2,1,253.6,1,0.02
2026-05-29,LONG,12.76,1,4.0,365.4,1,1,206.8,0,0.01
2026-06-02,LONG,121.26,1,95.1,208.2,0,1,56.6,0,0.46
2026-06-02,LONG,-0.74,0,18.3,285.0,1,1,133.3,0,0.06
2026-06-03,LONG,-133.74,0,44.5,175.4,0,1,65.8,0,0.25
2026-06-03,SHORT,-123.24,0,50.2,169.7,0,0,-59.4,0,0.3
2026-06-05,SHORT,109.76,1,76.7,705.4,0,0,-534.4,0,0.11
2026-06-05,SHORT,96.76,1,11.4,770.6,1,0,-599.7,0,0.01
2026-06-08,LONG,178.76,1,214.9,544.1,0,1,142.7,0,0.39
2026-06-08,LONG,85.76,1,88.2,670.9,0,1,269.4,0,0.13
2026-06-11,LONG,-0.74,0,210.2,279.9,1,1,21.7,0,0.75
2026-06-15,LONG,95.76,1,999.0,1382.5,0,1,1180.1,0,
2026-06-15,LONG,-0.74,0,999.0,1473.3,0,1,1270.8,0,
