strategy,family,direction,symbol,regime,sharpe,wr,active_days
Zscore Revert,Reversion,LONG,AI,ALL,-0.354,48.5,101
Zscore Revert,Reversion,LONG,AI,STRONG,1.623,72.7,22
Zscore Revert,Reversion,LONG,AI,NORMAL,0.081,55.6,18
Zscore Revert,Reversion,LONG,AI,WEAK,-1.231,35.5,31
Zscore Revert,Reversion,LONG,AI,CHOPPY,-0.304,33.3,18
Zscore Revert,Reversion,SHORT,AI,ALL,0.216,50.0,74
Zscore Revert,Reversion,SHORT,AI,STRONG,-1.362,23.8,21
Zscore Revert,Reversion,SHORT,AI,NORMAL,-0.263,46.7,15
Zscore Revert,Reversion,SHORT,AI,CHOPPY,0.297,47.4,19
Keltner Revert,Reversion,LONG,AI,ALL,-0.692,49.3,134
Keltner Revert,Reversion,LONG,AI,STRONG,2.135,71.4,35
Keltner Revert,Reversion,LONG,AI,NORMAL,0.89,57.1,21
Keltner Revert,Reversion,LONG,AI,CAUTIOUS,-0.732,36.8,19
Keltner Revert,Reversion,LONG,AI,WEAK,-2.112,28.9,38
Keltner Revert,Reversion,LONG,AI,CHOPPY,-0.269,52.4,21
Keltner Revert,Reversion,SHORT,AI,ALL,0.289,50.0,72
Keltner Revert,Reversion,SHORT,AI,STRONG,-0.963,25.0,20
Keltner Revert,Reversion,SHORT,AI,NORMAL,0.133,56.2,16
Keltner Revert,Reversion,SHORT,AI,CHOPPY,-0.785,45.0,20
MFI Revert,Reversion,LONG,AI,ALL,0.043,45.5,44
MFI Revert,Reversion,SHORT,AI,ALL,0.434,52.8,36
RSI Momentum,Momentum,LONG,AI,ALL,-0.006,55.0,100
RSI Momentum,Momentum,LONG,AI,STRONG,1.264,73.9,23
RSI Momentum,Momentum,LONG,AI,NORMAL,0.837,68.2,22
RSI Momentum,Momentum,LONG,AI,WEAK,-2.315,20.0,20
RSI Momentum,Momentum,LONG,AI,CHOPPY,0.563,60.7,28
RSI Momentum,Momentum,SHORT,AI,ALL,0.053,49.0,157
RSI Momentum,Momentum,SHORT,AI,STRONG,-2.741,22.0,41
RSI Momentum,Momentum,SHORT,AI,NORMAL,-1.622,25.0,24
RSI Momentum,Momentum,SHORT,AI,CAUTIOUS,0.13,63.2,19
RSI Momentum,Momentum,SHORT,AI,WEAK,2.51,71.4,42
RSI Momentum,Momentum,SHORT,AI,CHOPPY,0.724,64.5,31
Donchian/Turtle,Momentum,LONG,AI,ALL,0.039,51.9,106
Donchian/Turtle,Momentum,LONG,AI,STRONG,1.269,66.7,30
Donchian/Turtle,Momentum,LONG,AI,NORMAL,0.736,62.5,24
Donchian/Turtle,Momentum,LONG,AI,CHOPPY,0.08,50.0,28
Donchian/Turtle,Momentum,SHORT,AI,ALL,0.639,49.6,137
Donchian/Turtle,Momentum,SHORT,AI,STRONG,-2.918,22.5,40
Donchian/Turtle,Momentum,SHORT,AI,NORMAL,-0.816,38.1,21
Donchian/Turtle,Momentum,SHORT,AI,CAUTIOUS,0.83,56.2,16
Donchian/Turtle,Momentum,SHORT,AI,WEAK,1.707,71.9,32
Donchian/Turtle,Momentum,SHORT,AI,CHOPPY,0.689,67.9,28
ADX Trend,Momentum,LONG,AI,ALL,-0.281,47.2,159
ADX Trend,Momentum,LONG,AI,STRONG,1.57,71.8,39
ADX Trend,Momentum,LONG,AI,NORMAL,0.687,61.3,31
ADX Trend,Momentum,LONG,AI,CAUTIOUS,-1.521,26.1,23
ADX Trend,Momentum,LONG,AI,WEAK,-2.641,8.7,23
ADX Trend,Momentum,LONG,AI,CHOPPY,0.504,46.5,43
ADX Trend,Momentum,SHORT,AI,ALL,0.27,51.2,209
ADX Trend,Momentum,SHORT,AI,STRONG,-2.702,28.6,56
ADX Trend,Momentum,SHORT,AI,NORMAL,-1.071,37.5,32
ADX Trend,Momentum,SHORT,AI,CAUTIOUS,-0.163,65.2,23
ADX Trend,Momentum,SHORT,AI,WEAK,2.927,71.7,53
ADX Trend,Momentum,SHORT,AI,CHOPPY,0.67,57.8,45
RSI Revert,Reversion,LONG,APD,ALL,0.493,53.8,106
RSI Revert,Reversion,LONG,APD,STRONG,1.492,76.2,21
RSI Revert,Reversion,LONG,APD,NORMAL,-0.436,55.6,18
RSI Revert,Reversion,LONG,APD,WEAK,0.278,41.7,36
RSI Revert,Reversion,LONG,APD,CHOPPY,-0.054,54.5,22
RSI Revert,Reversion,SHORT,APD,ALL,0.018,48.5,134
RSI Revert,Reversion,SHORT,APD,STRONG,-1.476,33.3,39
RSI Revert,Reversion,SHORT,APD,NORMAL,0.315,45.5,22
RSI Revert,Reversion,SHORT,APD,CAUTIOUS,-0.152,52.9,17
RSI Revert,Reversion,SHORT,APD,WEAK,0.19,61.1,18
RSI Revert,Reversion,SHORT,APD,CHOPPY,0.995,57.9,38
Zscore Revert,Reversion,LONG,APD,ALL,0.721,50.0,84
Zscore Revert,Reversion,LONG,APD,STRONG,0.914,63.6,22
Zscore Revert,Reversion,LONG,APD,NORMAL,0.467,56.2,16
Zscore Revert,Reversion,LONG,APD,WEAK,0.748,47.6,21
Zscore Revert,Reversion,LONG,APD,CHOPPY,-0.129,33.3,18
Zscore Revert,Reversion,SHORT,APD,ALL,-0.108,45.9,111
Zscore Revert,Reversion,SHORT,APD,STRONG,-1.556,31.0,29
Zscore Revert,Reversion,SHORT,APD,WEAK,1.598,73.7,19
Zscore Revert,Reversion,SHORT,APD,CHOPPY,-0.06,45.0,40
Keltner Revert,Reversion,LONG,APD,ALL,0.495,50.6,89
Keltner Revert,Reversion,LONG,APD,STRONG,1.34,72.7,22
Keltner Revert,Reversion,LONG,APD,NORMAL,0.619,53.3,15
Keltner Revert,Reversion,LONG,APD,WEAK,0.213,39.3,28
Keltner Revert,Reversion,LONG,APD,CHOPPY,-0.264,41.2,17
Keltner Revert,Reversion,SHORT,APD,ALL,0.126,46.8,94
Keltner Revert,Reversion,SHORT,APD,STRONG,-1.624,26.1,23
Keltner Revert,Reversion,SHORT,APD,WEAK,0.847,60.0,15
Keltner Revert,Reversion,SHORT,APD,CHOPPY,0.571,51.4,35
MFI Revert,Reversion,LONG,APD,ALL,0.704,65.0,20
MFI Revert,Reversion,SHORT,APD,ALL,0.713,60.0,40
RSI Momentum,Momentum,LONG,APD,ALL,-0.018,51.5,134
RSI Momentum,Momentum,LONG,APD,STRONG,1.476,66.7,39
RSI Momentum,Momentum,LONG,APD,NORMAL,-0.315,54.5,22
RSI Momentum,Momentum,LONG,APD,CAUTIOUS,0.152,47.1,17
RSI Momentum,Momentum,LONG,APD,WEAK,-0.19,38.9,18
RSI Momentum,Momentum,LONG,APD,CHOPPY,-0.995,42.1,38
RSI Momentum,Momentum,SHORT,APD,ALL,-0.493,46.2,106
RSI Momentum,Momentum,SHORT,APD,STRONG,-1.492,23.8,21
RSI Momentum,Momentum,SHORT,APD,NORMAL,0.436,44.4,18
RSI Momentum,Momentum,SHORT,APD,WEAK,-0.278,58.3,36
RSI Momentum,Momentum,SHORT,APD,CHOPPY,0.054,45.5,22
Donchian/Turtle,Momentum,LONG,APD,ALL,0.014,54.3,129
Donchian/Turtle,Momentum,LONG,APD,STRONG,1.256,65.8,38
Donchian/Turtle,Momentum,LONG,APD,NORMAL,-0.205,55.6,18
Donchian/Turtle,Momentum,LONG,APD,CAUTIOUS,0.235,50.0,16
Donchian/Turtle,Momentum,LONG,APD,WEAK,-1.108,33.3,18
Donchian/Turtle,Momentum,LONG,APD,CHOPPY,0.091,53.8,39
Donchian/Turtle,Momentum,SHORT,APD,ALL,-0.713,49.1,106
Donchian/Turtle,Momentum,SHORT,APD,STRONG,-1.395,31.0,29
Donchian/Turtle,Momentum,SHORT,APD,NORMAL,-0.094,50.0,18
Donchian/Turtle,Momentum,SHORT,APD,WEAK,-0.586,51.9,27
Donchian/Turtle,Momentum,SHORT,APD,CHOPPY,-0.14,60.9,23
ADX Trend,Momentum,LONG,APD,ALL,0.137,52.9,172
ADX Trend,Momentum,LONG,APD,STRONG,1.85,61.5,39
