scan_date,score,is_catalyst,drift
2026-06-08,136,0,2.430921573269563
2026-06-08,196,0,0.5048952464085863
2026-06-08,207,0,2.145307812235913
2026-06-08,242,0,-0.3999025421485729
2026-06-08,174,0,-0.2505654049660433
2026-06-08,202,0,-0.2745759601107593
2026-06-08,146,0,-1.0505654049660431
2026-06-08,193,0,1.6437407683000798
2026-06-08,217,0,0.3790648409980123
2026-06-08,171,0,0.5500974578514272
2026-06-08,119,0,-1.680565404966043
2026-06-08,203,0,-1.4153468226232564
2026-06-08,178,0,9.745785142711849e-05
2026-06-08,159,0,-1.1905654049660437
2026-06-08,282,0,-0.45093515900198766
2026-06-08,139,0,-0.7405654049660435
2026-06-09,172,0,-9.000240906227507
2026-06-09,200,0,-6.04745813500276
2026-06-09,192,0,-5.9043862282257695
2026-06-09,150,0,-4.016443263630758
2026-06-09,143,0,-1.2700862525874732
2026-06-09,207,0,-7.274950812093358
2026-06-09,182,0,-5.691514638873776
2026-06-09,134,0,0.7517573090168028
2026-06-09,178,0,-0.36349022006122267
2026-06-11,245,1,0.8318419864412796
2026-06-11,207,1,3.149461882894326
2026-06-11,250,1,-6.583382762265067
2026-06-11,232,1,15.767652745101897
2026-06-11,202,1,5.464103603110283
2026-06-11,202,0,4.744537527466047
2026-06-11,222,1,14.557652745101898
2026-06-11,237,1,-0.9552123847681351
2026-06-11,222,0,3.184856043168365
2026-06-11,217,0,4.054537527466047
2026-06-11,287,0,4.3816067585176945
2026-06-11,237,0,2.0777587110021583
2026-06-11,212,0,1.4647859982380602
2026-06-11,272,0,3.0022085334503656
2026-06-11,242,0,2.026725682082077
2026-06-11,222,0,0.5794308926196812
2026-06-11,202,0,1.809324174378257
2026-06-11,197,0,5.260093865799142
2026-06-11,182,1,1.834787615231865
2026-06-11,212,0,4.914856043168365
2026-06-11,217,0,4.504537527466047
2026-06-11,252,0,1.07478599823806
2026-06-11,217,0,5.901606758517694
2026-06-11,222,0,2.957758711002158
2026-06-11,227,0,4.312208533450366
2026-06-11,197,0,4.169176553924908
2026-06-11,232,0,1.299430892619681
2026-06-11,192,0,4.250093865799142
2026-06-11,217,0,1.9293241743782572
2026-06-15,125,1,-1.0340403409379362
2026-06-15,157,1,-0.27186158631726154
2026-06-15,147,1,-1.3073996038722082
2026-06-15,172,0,-1.2664849029293141
2026-06-15,175,0,-0.663564807400814
2026-06-15,182,0,1.2395118014421733
2026-06-15,182,0,-0.5416080698786745
2026-06-15,207,0,1.790897458359538
2026-06-15,182,0,1.7124547985313228
2026-06-15,157,0,-0.7868487975530686
2026-06-15,157,0,-1.7241064969789746
2026-06-15,147,0,-1.11306196228662
2026-06-15,147,0,2.2615780255887756
2026-06-15,137,0,12.204916964291911
2026-06-15,187,0,-2.8912494204732084
2026-06-15,177,0,5.2437768452657885
2026-06-15,117,0,-2.5435783009727615
2026-06-15,142,0,2.6346078443337717
2026-06-15,232,0,0.8677395083675394
2026-06-15,158,0,-1.6869860410918285
2026-06-15,167,1,-1.6434551143106142
2026-06-15,147,1,-2.587817725982788
2026-06-15,147,1,-1.7788226521266142
2026-06-15,147,1,-1.1006339489886015
2026-06-15,142,0,0.7713215492927015
2026-06-15,157,0,0.35951180144217343
2026-06-15,242,0,0.960897458359538
2026-06-15,167,0,-0.4116080698786746
2026-06-15,172,0,1.7324547985313228
2026-06-15,152,0,-2.01306196228662
2026-06-15,147,0,-0.5168487975530686
2026-06-15,147,0,-1.5441064969789746
2026-06-15,162,0,-0.6683081681364433
2026-06-15,136,0,2.691578025588776
2026-06-15,162,0,10.954916964291911
2026-06-15,142,0,4.4437768452657895
2026-06-15,177,0,-2.531249420473208
2026-06-15,177,0,1.744607844333772
