symbol,price,dvol_m,atr_pct,rank_score
SNDK,1354.8199462890625,24064.839287823488,16.2068183238439,16.2068183238439
MXL,71.83999633789062,306.30194652900695,18.266783621997583,16.160582940974475
PENG,60.40999984741211,297.7227095687866,16.51228570766432,14.504998362837012
GLW,154.61000061035156,3145.846861400604,12.608684170786038,12.608684170786038
UCTT,92.43000030517578,176.7306252593994,15.064682292219098,11.615701136619768
WDC,477.2200012207031,4862.530572149658,11.314638217553606,11.314638217553606
TER,322.3599853515625,1686.957029876709,11.104709140629874,11.104709140629874
VSH,37.810001373291016,365.6011754621506,11.782595125469404,10.895579890021734
VICR,237.6199951171875,218.77526424865724,13.27419453913418,10.796058553096062
STX,787.6599731445312,4237.910257202148,10.27600862818101,10.27600862818101
DOCN,118.91000366210938,463.8470898170471,10.384867135780723,10.191829565489357
ALGM,46.47999954223633,205.79236670417785,12.604499825661907,10.095792850229426
ACMR,83.91999816894531,174.80550680046082,13.002093044380183,9.997917435446173
SMTC,124.95999908447266,435.4910364940643,9.7122523661943,9.382579712448566
FORM,105.56999969482422,190.39582917022705,11.904086021421008,9.351212217670549
MKSI,324.69000244140625,634.9420111404419,9.184802307167184,9.184802307167184
ENTG,138.74000549316406,572.4079459632874,9.157416529589533,9.157416529589533
AMKR,62.939998626708984,375.6282217933654,9.712196678723164,9.042000382836903
RMBS,101.44000244140624,353.12242250900266,9.809458218450464,8.992570358297566
ICHR,82.87000274658203,105.67530711822508,13.11710070023159,8.893828101655147
TTMI,132.0,377.8436529335022,9.425866345822554,8.788339164751665
FLEX,119.25,674.0816922897338,8.730758753819678,8.730758753819678
AVAV,142.1999969482422,334.8186910987854,9.609706257880315,8.69300711690043
MTSI,267.3599853515625,543.1144258682251,8.567367567185736,8.567367567185736
DELL,396.3399963378906,2984.2730601898193,8.404400274057396,8.404400274057396
STRL,638.5599975585938,547.657261529541,8.391202046656026,8.391202046656026
VSAT,71.4800033569336,186.32427595710757,10.709289006974029,8.367303042708269
CIEN,374.4100036621094,978.7741235778808,8.31021763465769,8.31021763465769
IBM,212.6699981689453,2332.70517210083,7.847839566124735,7.847839566124735
KLIC,97.22000122070312,147.38152377090455,10.232314578495409,7.539493011164411
ENPH,41.56999969482422,261.5729298128128,8.622289541489353,7.33294285768956
AGX,551.260009765625,207.56803699035643,9.055356564743905,7.2686402433765025
VRT,289.55999755859375,1880.769162945557,7.263484627100373,7.263484627100373
VIAV,38.15999984741211,233.74860789642335,8.52051453000229,7.045479872877467
COHU,51.189998626708984,75.75951435928344,11.225684631081142,7.003733811199367
ANET,168.61000061035156,1483.7522929153442,6.8717750153765005,6.8717750153765005
NXT,103.0999984741211,296.3457785945892,7.831162373952585,6.871213042320659
SOLS,58.380001068115234,206.1407078508377,8.478318072693177,6.793727845712885
FN,478.3900146484375,453.05274050598143,6.9063491775920625,6.738189512266329
MTZ,329.5899963378906,417.18970319213867,7.029079417754238,6.717989865487878
VECO,52.27000045776367,86.53358792037965,10.235315701513375,6.601686844493418
SEDG,53.470001220703125,125.14669417686464,9.319644900603237,6.591916681771193
MPWR,1312.0,1381.8094067626953,6.535497525843178,6.535497525843178
CDE,14.350000381469728,485.84868870630265,6.4211041921015415,6.3751803425695766
FIX,1674.06005859375,813.4797800720215,6.367966078212617,6.367966078212617
AEIS,284.04998779296875,239.73082130126951,7.602033635564832,6.325840742639207
LSCC,125.2300033569336,275.01224364547727,7.333936216293003,6.315862037205717
GEV,1057.8399658203125,3060.664083795166,6.21340849997383,6.21340849997383
Q,136.35000610351562,294.08423795318606,6.960292842119878,6.095410350099697
HPE,45.81999969482422,921.6837707084655,6.094500449131426,6.094500449131426
AOSL,31.270000457763672,29.00558713989258,12.069990657660318,5.923588047168835
CVNA,67.33999633789062,608.1037479087829,5.86978703600418,5.86978703600418
JBL,301.010009765625,501.2438979492187,5.715519122226034,5.715519122226034
P,69.37999725341797,189.80478040885924,7.274636456571352,5.710124536655157
CRWD,203.0800018310547,2026.855163610077,5.703327650591208,5.703327650591208
PATH,12.149999618530272,788.1159958595276,5.620222139180479,5.620222139180479
CHTR,131.3699951171875,306.8176274833679,6.334888310949769,5.60681902210047
MCHP,80.95999908447266,1022.3538759471892,5.598002334994316,5.598002334994316
NOW,103.23999786376952,2119.0534288627623,5.489983326244427,5.489983326244427
AA,43.97999954223633,345.8603624296188,5.92412231758883,5.4026485124064685
GNRC,214.91000366210935,253.36080856933592,6.370440613108819,5.374794071613148
POWL,232.7899932861328,216.21723711166385,6.50739995528728,5.277005870117078
SEZL,174.6699981689453,115.59355894088743,7.549544578136702,5.234939435495661
WDAY,144.77999877929688,558.6956282493592,5.216782427757584,5.216782427757584
CNXC,24.43000030517578,49.52790196781159,9.140985775223612,5.128177098625871
SANM,197.2400054931641,160.98262853012085,6.711908648584986,5.055897834024186
SYNA,114.0500030517578,137.98248734283447,6.959979600412969,5.044538698237774
WING,142.3300018310547,170.7057668029785,6.584799688021165,5.033407770151708
TLN,372.3699951171875,303.4638579360962,5.70235482435056,5.033133849385904
RUN,11.850000381469728,127.19480042815208,7.0819783474663005,5.029553510728383
ECHO,92.0,528.1240129749298,5.020961406068032,5.020961406068032
ACN,143.57000732421875,1457.1888549934388,4.994078392508769,4.994078392508769
TXN,284.0199890136719,2518.9661809158324,4.979023788358974,4.979023788358974
JBLU,5.420000076293945,168.50914850673675,6.470742986685711,4.930233862295392
NTAP,163.8800048828125,511.3116319259644,4.916925023423696,4.916925023423696
AAL,14.979999542236328,2667.2238917453765,4.849323546035878,4.849323546035878
PDFS,51.13999938964844,41.95676969299316,8.968378100845516,4.826940210743578
ELF,73.69000244140625,189.5913561275482,6.135839366189509,4.814887160053541
AKAM,120.19000244140624,461.25850677223207,4.888687269353486,4.791106803975424
NXPI,266.5299987792969,1109.3601506515504,4.790135728643146,4.790135728643146
APH,151.1999969482422,1217.3649193359374,4.77891111324128,4.77891111324128
NVT,154.9199981689453,324.53061256408694,5.2815294033438285,4.7405760517464515
RRX,206.80999755859375,224.91102862548829,5.723680757210842,4.687438572964671
SNEX,102.98999786376952,105.54084451942444,6.888324395262818,4.669025346167984
CDNS,330.1099853515625,711.9423813140869,4.620538132757368,4.620538132757368
ESI,37.400001525878906,228.9925709587097,5.590144279771343,4.598708315170046
INTU,291.0899963378906,1383.1463872695922,4.558237072054587,4.558237072054587
CAVA,68.8499984741211,217.9192112125397,5.581803360951389,4.535298865477682
CTSH,44.77000045776367,461.0538394842148,4.622034761862118,4.529274238177444
ALHC,20.600000381469727,100.76042187461852,6.7389039896137595,4.515119635585906
SWKS,59.349998474121094,334.513684651947,4.969311542481809,4.494249679554963
CGNX,64.06999969482422,141.53811265220642,6.15621323593892,4.49044625983236
SNPS,384.2799987792969,702.044479989624,4.476462082893804,4.476462082893804
WEN,7.760000228881836,104.66611169598104,6.581368238186824,4.451693060210597
DAVE,440.4200134277344,204.4920438812256,5.565481467803464,4.450710475633637
MRCY,96.08000183105467,67.57601389579773,7.337636071580636,4.448993892621349
MYRG,391.510009765625,113.41948812561036,6.442272529870939,4.445990318415811
PNR,62.45000076293945,188.77271429290772,5.657098241372661,4.434411836304464
DIOD,87.0199966430664,55.72510808181762,7.641100562184722,4.414953605177117
KEYS,315.8999938964844,461.8552846878052,4.502511783176226,4.414066139896959
DASH,184.13999938964844,814.9718291152955,4.356350672207441,4.356350672207441
ETN,399.989990234375,945.8683020782472,4.349393966767967,4.349393966767967
LQDA,79.94000244140625,123.63105534095764,6.167125537417054,4.348827506714536
SFM,75.77999877929688,173.41601958999632,5.653581932185115,4.338638769314679
ELV,373.1099853515625,684.3078912368775,4.297085305173924,4.297085305173924
DY,407.1099853515625,236.42571552124025,5.180418426566529,4.295819414371067
CCOI,10.970000267028809,17.17530140786171,9.975256753424205,4.29445121518806
FDS,258.0899963378906,237.4330879699707,5.065786198638232,4.205229143830624
ECG,133.22999572753906,96.32280221557616,6.335659305740372,4.197411919652651
ALB,120.77999877929688,286.2196719726563,4.819859621160572,4.192439058392042
PWR,628.530029296875,763.5132191070556,4.19175307455719,4.19175307455719
