date,health,binary_on,asym_status,raw
2026-05-27,,True,ON,-24.029364587335387
2026-05-28,,True,ON,-1.4335912055288356
2026-06-01,,True,ON,-36.29935994189014
2026-06-04,,True,ON,0.19478356367327754
2026-06-08,-0.4699811616113059,False,OFF,0.20053764820021547
2026-06-09,-0.41746254777469965,False,OFF,-38.81681314768582
2026-06-11,-0.6422038953241452,False,OFF,101.96655020360092
2026-06-12,0.00963644612450947,True,OFF,-88.14655112612353
2026-06-15,-0.3738693012687848,False,OFF,25.19503812812485
2026-06-18,-0.21165664520748942,False,OFF,-34.18429562678233
2026-06-22,-0.30175020915109735,False,OFF,-148.34838423538397
2026-06-24,-0.6717800787149706,False,OFF,-34.9978828984342
2026-06-29,-0.7913636794771899,False,OFF,46.167302906072536
2026-06-30,-0.609891837802636,False,OFF,-5.074227408637393
2026-07-01,-0.6070300881277543,False,OFF,-69.66241406119072
2026-07-02,-0.5038968796443436,False,OFF,-85.44637562230332
2026-07-06,-0.5804191264703515,False,OFF,-21.092045641743102
2026-07-09,-0.8054066581131805,False,OFF,-36.886200651125314
2026-07-10,-0.743529561451843,False,OFF,3.9221915635087377
2026-07-14,-0.8665220936539757,False,OFF,-18.728092124287336
2026-07-15,-0.8688876248204791,False,OFF,-4.751654034669336
2026-07-16,-0.5649610922015198,False,OFF,0.6623043299247708
2026-07-22,-0.5103989592097607,False,OFF,-57.66350235308401
2026-07-24,-0.7755789894831764,False,OFF,-3.950867285843501
2026-07-28,-0.8088062145476946,False,OFF,-4.210229109454993
2026-07-30,-1.5009504666386673,False,OFF,54.590483759058806
2026-07-31,-0.49778311608878684,False,OFF,-8.858907566777965
2026-08-03,-0.46548756731748553,False,OFF,-26.459952044206535
