symbol,cluster,cluster_raw,pca1,pca2,gap_fill_rate,gap_go_rate,trend_1d,trend_3d,reversal_tendency,vol_move_corr,up_vol_ratio,avg_atr_pct,return_skew,vol_clustering,intraday_revert_rate,fvg_density,fvg_fill_rate,orb_breakout_rate,orb_hold_1h,vwap_reclaim_rate,morning_continuation
DVN,INSTITUTIONAL_ACCUMULATION,2,-1.2923005509383512,-0.14292309980672915,0.53315649867374,0.7320954907161804,0.5116279069767442,0.5465116279069767,0.5231384482357245,0.3691591042686906,0.9827940665419247,5.082343253682399,-0.47072860814690637,0.24505030013000276,0.49801192842942343,27.3778548713501,0.6779303062302007,0.5020080321285141,0.4751131221719457,0.5381526104417671,0.0
XLE,INSTITUTIONAL_ACCUMULATION,2,-2.227232914090206,0.10057632388489797,0.4538341158059468,0.7762128325508607,0.4574468085106383,0.46808510638297873,0.46967651954829714,0.33526577380312433,0.9838132613400848,3.0628969336325773,-0.4265066218981093,0.22479190926072848,0.4990059642147117,27.406764960971376,0.6719409282700421,0.5502008032128514,0.5220883534136547,0.5421686746987951,0.0
UNH,INSTITUTIONAL_ACCUMULATION,2,-1.811681597034525,-0.31076173581305677,0.5186104218362283,0.7419354838709677,0.4411764705882353,0.5294117647058824,0.5252047210158141,0.3204194380574374,0.9868421841972785,2.3668482731180425,-0.10454828876380208,0.33984287829643833,0.5357852882703777,25.729979762937262,0.6404494382022472,0.4759036144578313,0.5046296296296297,0.5461847389558233,0.0
MRNA,VOLATILE_NEWS_DRIVEN,1,0.8121857070611942,0.6445721405593551,0.6028368794326241,0.6879432624113475,0.4895397489539749,0.5439330543933054,0.5485209235209235,0.5581659223539779,1.1685097433559932,6.613339382449078,0.6889810615224455,0.2318669607647046,0.5049701789264414,25.924855491329478,0.6789297658862876,0.4718875502008032,0.45544554455445546,0.5602409638554217,0.0
PFE,INSTITUTIONAL_ACCUMULATION,2,-0.8126862445945097,0.20694799648824236,0.4597402597402597,0.7428571428571429,0.3673469387755102,0.5510204081632653,0.5053085709589942,0.42692162683863505,1.0343609711295796,2.399358547945946,0.3471663654490604,0.21016772687467689,0.5009940357852882,22.781150621566926,0.6637055837563451,0.45180722891566266,0.43523316062176165,0.5863453815261044,0.0
ABBV,INSTITUTIONAL_ACCUMULATION,2,-2.363139799841874,-0.7108170228206573,0.49127906976744184,0.7674418604651163,0.5769230769230769,0.7307692307692307,0.5238282478766908,0.4599315806173048,0.9279665022311061,2.2123512861601617,-0.5932670097675175,0.20647825486939944,0.5168986083499006,23.706273489447813,0.6853658536585366,0.4919678714859438,0.5113122171945701,0.5682730923694779,0.0
ISRG,INSTITUTIONAL_ACCUMULATION,2,-2.16918739216684,0.7907157992410585,0.4685185185185185,0.774074074074074,0.4927536231884058,0.5942028985507246,0.5176045242715226,0.4272738662268723,0.9356615675273331,2.9671357677266736,-0.006618409352443354,0.1863407371163843,0.48906560636182905,26.329479768786126,0.7244785949506037,0.5040160642570282,0.5291479820627802,0.5642570281124498,0.0
DXCM,VOLATILE_NEWS_DRIVEN,1,0.6783769508690013,-0.8109703754170519,0.5954465849387041,0.6882661996497373,0.5573770491803278,0.5737704918032787,0.489390139264735,0.4307830374687588,1.0126493540449786,4.1398705648383896,0.21431982946029488,0.07345982262433215,0.4970178926441352,23.786127167630056,0.6889428918590522,0.45180722891566266,0.44,0.5662650602409639,0.0
HIMS,VOLATILE_NEWS_DRIVEN,1,0.24388576680969476,-1.3657611316834186,0.639871382636656,0.6479099678456591,0.536144578313253,0.5481927710843374,0.46574700328132324,0.33547974041823975,0.9529488460798279,5.46170934632185,0.7484756573277143,0.3302622001476864,0.5089463220675944,26.626192541196875,0.6525515743756786,0.46586345381526106,0.5095238095238095,0.5662650602409639,0.0
XBI,INSTITUTIONAL_ACCUMULATION,2,-1.1353833575374273,-0.20611095180340863,0.5678294573643411,0.7054263565891473,0.5196078431372549,0.5196078431372549,0.5277570789865872,0.39022668436315777,1.015304841857465,3.274488869811161,-0.12357287326815597,0.16266076548216504,0.47514910536779326,25.20959814975426,0.6559633027522935,0.5321285140562249,0.5232067510548524,0.5542168674698795,0.0
COST,INSTITUTIONAL_ACCUMULATION,2,-1.6983760351051929,1.6649825368167368,0.47305389221556887,0.7754491017964071,0.39285714285714285,0.5,0.4877796188898095,0.4274588447153406,0.9114518171031545,2.032812219878891,-0.017247378845790928,0.1937375030749912,0.5178926441351889,26.1271676300578,0.7123893805309734,0.5040160642570282,0.49767441860465117,0.572289156626506,0.0
NKE,INSTITUTIONAL_ACCUMULATION,2,-1.8883515809639828,-0.739558476633211,0.43956043956043955,0.7838827838827839,0.36065573770491804,0.5081967213114754,0.5064221640073033,0.43969191594890406,0.9768404365838925,2.6756701869764496,0.30104657262590456,0.18707852883855436,0.4970178926441352,27.551315409077766,0.6526757607555089,0.4598393574297189,0.4838709677419355,0.4979919678714859,0.0
SBUX,INSTITUTIONAL_ACCUMULATION,2,-2.0356662814008057,0.36465747274736965,0.40315315315315314,0.777027027027027,0.37777777777777777,0.4888888888888889,0.4885892116182573,0.4292279702041752,0.9589341915877488,2.452219699860442,0.19862279056336074,0.2917312409490353,0.5039761431411531,26.936416184971097,0.6824034334763949,0.4779116465863454,0.49295774647887325,0.5461847389558233,0.0
CMG,VOLATILE_NEWS_DRIVEN,1,-0.8440865280200531,-2.2904701099695277,0.5557768924302788,0.7091633466135459,0.6181818181818182,0.5818181818181818,0.4729525607741326,0.40920120751854516,1.0022951523044075,2.8775466031526924,0.7642353165661603,0.24660788070145678,0.5129224652087475,27.782596126047988,0.6482830385015609,0.46586345381526106,0.5258215962441315,0.5421686746987951,0.0
UBER,VOLATILE_NEWS_DRIVEN,1,0.2873996393200622,-0.6673143736249861,0.5832083958020989,0.7016491754122939,0.5253164556962026,0.5632911392405063,0.4850597609561753,0.4084089087938906,1.0301586762435375,4.679718828311087,1.2710870592189734,0.1971768750368944,0.5139165009940357,26.510552182711763,0.6990185387131952,0.42369477911646586,0.5257731958762887,0.5602409638554217,0.0
