symbol,gap_fill_rate,gap_go_rate,trend_1d,trend_3d,reversal_tendency,vol_move_corr,up_vol_ratio,avg_atr_pct,avg_range_pct,return_skew,vol_clustering,intraday_revert_rate,val_gap_fill,val_gap_go,val_trend_1d,consistency,fvg_density,fvg_fill_rate,orb_breakout_rate,orb_hold_1h,vwap_reclaim_rate,morning_continuation,catalyst_wr,catalyst_avg,data_years,high_perf
AAPL,0.4629981024667932,0.7495256166982922,0.38333333333333336,0.45,0.5449019745625747,0.36461232163818297,0.926526965554601,2.624368176668989,2.3598898996539437,0.0765618495463964,0.21896554653659403,0.5059642147117296,0.41836734693877553,0.8163265306122449,0.7222222222222222,0.9553692444719823,25.0,0.6705202312138728,0.5040160642570282,0.48672566371681414,0.5522088353413654,0.0,0.39473684210526316,-0.3970262825537234,6.0,True
PLTR,0.6360544217687075,0.6496598639455783,0.49101796407185627,0.5149700598802395,0.4583754598059673,0.5409175089023461,1.041485906402846,6.200037615840169,5.784982752236079,0.8797692457849158,0.16366286947580327,0.5293398533007335,0.5816618911174785,0.7163323782234957,0.53125,0.9456074693487709,25.404624277456648,0.6575654152445961,0.5020080321285141,0.527027027027027,0.572289156626506,0.0,0.5652173913043478,1.8538228342273562,5.2,True
COHR,0.5584415584415584,0.7113997113997114,0.48214285714285715,0.5059523809523809,0.4975806451612903,0.37346820276826614,0.9931532392341622,4.6700052021781,4.228654199402648,-0.1316406699078936,0.12983050266612847,0.5009940357852882,0.5274725274725275,0.7472527472527473,0.5625,0.9690309690309691,28.24515755998843,0.6376663254861822,0.4738955823293173,0.5314009661835749,0.5381526104417671,0.0,0.5515151515151515,0.4866975592919897,6.0,False
IONQ,0.7014925373134329,0.6268656716417911,0.5739644970414202,0.5384615384615384,0.43475215936503,0.39895000498822664,1.0448768576008705,7.520600724488241,7.074890693888502,0.8365576313489896,0.18023470096001384,0.5577689243027888,0.6683168316831684,0.6683168316831684,0.5277777777777778,0.9668242943697355,26.308181555362818,0.6780219780219781,0.5120481927710844,0.4713656387665198,0.5401606425702812,0.0,0.5570469798657718,2.8410090471217595,5.0,False
HOOD,0.6384976525821596,0.687793427230047,0.48717948717948717,0.48717948717948717,0.4601318944844125,0.4703432079962486,1.0604975164596573,6.0837859149187805,5.682535539387987,2.032969334201695,0.4039238410484166,0.4918032786885246,0.5815789473684211,0.718421052631579,0.5967741935483871,0.9430812947862615,27.08092485549133,0.6723585912486659,0.5341365461847389,0.4796747967479675,0.5301204819277109,0.0,0.5774647887323944,1.3933176540431536,4.4,False
JPM,0.41467889908256883,0.7871559633027523,0.5098039215686274,0.5490196078431373,0.46916099773242625,0.37689061085667763,0.9302692745645482,2.5706896725245167,2.2190897677654657,0.4075326318748639,0.42904955456859495,0.5049701789264414,0.5121951219512195,0.7378048780487805,0.5,0.9024837771313493,25.49869904596704,0.6870748299319728,0.5140562248995983,0.5128205128205128,0.5200803212851406,0.0,0.4217687074829932,-0.4511592664335912,6.0,False
IREN,0.7202797202797203,0.6247086247086248,0.474025974025974,0.5,0.49025571002979146,0.4464516067948183,1.4057885624796418,11.438834166685712,10.78106675479694,1.490722707199012,0.10058058911886143,0.518796992481203,0.6474654377880185,0.663594470046083,0.5272727272727272,0.9271857175082981,26.90751445086705,0.6756176154672395,0.5,0.53125,0.5522088353413654,0.0,0.6729559748427673,4.802619007590491,4.1,False
NUTX,0.8575757575757575,0.5303030303030303,0.29357798165137616,0.3119266055045872,0.5233959396373901,0.46504372652723075,1.462232884236859,14.139870985871587,12.674012736039728,1.8460328729335156,0.2103303516107951,0.5547945205479452,0.7507082152974505,0.6090651558073654,0.5,0.8931324577216929,33.23563892145369,0.7160493827160493,0.5766129032258065,0.5703125,0.6512096774193549,0.0,0.5578947368421052,3.4819065076408564,3.7,False
LITE,0.553156146179402,0.7126245847176079,0.46534653465346537,0.5643564356435643,0.5084182100051676,0.4299130081185348,0.9991810703837567,3.793547375987658,3.44667980185325,-0.4229878197444174,0.19187285824622471,0.5059642147117296,0.49283667621776506,0.7593123209169055,0.5277777777777778,0.939680530038363,28.323699421965316,0.6622448979591836,0.4738955823293173,0.5639810426540285,0.5622489959839357,0.0,0.5773809523809523,0.3428345755008306,6.0,False
VST,0.5555555555555556,0.7199074074074074,0.3950617283950617,0.4567901234567901,0.5267562210966747,0.28488808284450046,0.9700336920462159,3.151968171617841,2.9436918122527507,-0.8795020912496421,0.20516531074442138,0.4860834990059642,0.5980392156862745,0.6797385620915033,0.49056603773584906,0.9575163398692811,25.990170569528765,0.6874304783092324,0.4879518072289157,0.5044642857142857,0.5662650602409639,0.0,0.5725190839694656,0.3630223918694541,6.0,False
ITA,0.3900523560209424,0.774869109947644,0.3953488372093023,0.46511627906976744,0.5004503724233501,0.23999616314540612,0.9304791920041793,2.1424566494477033,1.882907595788872,-0.36468536012283453,0.37447071718534475,0.49105367793240556,0.38064516129032255,0.7612903225806451,0.5,0.9905928052693802,29.575021682567215,0.6891495601173021,0.5281124497991968,0.525,0.572289156626506,0.0,0.4954954954954955,-0.17542256438456594,6.0,False
NFLX,0.6057142857142858,0.7352380952380952,0.44144144144144143,0.5315315315315315,0.5104430802081943,0.4694687895903103,0.9787145320673329,3.6865316763927205,3.343963605919069,-1.3296829241545565,0.10520458360042374,0.47813121272365805,0.600896860986547,0.6905829596412556,0.6190476190476191,0.9951825752722613,23.930635838150287,0.6871980676328503,0.4799196787148594,0.5229357798165137,0.5481927710843374,0.0,0.5347222222222222,0.2628060512578718,6.0,True
ORCL,0.5136363636363637,0.7431818181818182,0.5277777777777778,0.6111111111111112,0.5098099535138091,0.39830929309030955,1.0177024631853064,2.4026633995299327,2.2009409590818105,0.7651430305997587,0.300974881913556,0.5049701789264414,0.3927272727272727,0.7745454545454545,0.5454545454545454,0.879090909090909,29.7195721306736,0.622568093385214,0.5,0.5,0.5381526104417671,0.0,0.4968944099378882,0.22486087712088668,6.0,True
OKLO,0.5555555555555556,0.7083333333333334,0.5,0.5,0.48450569038804336,0.11762757667600897,1.4851506546960738,0.46286546759077973,0.4280002590712367,0.07138266016527303,0.35262288430066896,0.5552,0.6790450928381963,0.6392572944297082,0.5362318840579711,0.8765104627173593,25.75888985255854,0.6588103254769921,0.4538152610441767,0.5,0.4979919678714859,0.0,0.7631578947368421,6.2143340258307935,4.5,False
AMZN,0.48727272727272725,0.7327272727272728,0.5340909090909091,0.5,0.5062477234214402,0.4780425264461615,1.0050419373648887,3.0769734137468583,2.7521404736996047,0.09798674274622408,0.15517408163824892,0.5129224652087475,0.4268774703557312,0.7944664031620553,0.5454545454545454,0.9396047430830039,27.254335260115607,0.6670201484623541,0.5220883534136547,0.4778761061946903,0.5522088353413654,0.0,0.5128205128205128,-0.012956226061412269,6.0,False
GOOGL,0.45664739884393063,0.7610789980732178,0.4696969696969697,0.4393939393939394,0.5257627633198968,0.5117569075594391,0.9726336945014745,2.6859131749026743,2.3854058002491096,-0.09469777185751253,0.185460456190121,0.5198807157057654,0.4144486692015209,0.7832699619771863,0.43478260869565216,0.9578012703575902,26.242774566473987,0.6464757709251101,0.4919678714859438,0.48598130841121495,0.5783132530120482,0.0,0.4805194805194805,-0.27877397127877634,6.0,False
CRM,0.49401709401709404,0.7435897435897436,0.4642857142857143,0.5238095238095238,0.48423735212685626,0.4465928372093216,0.9781329953130881,3.1695815663832034,2.818618043126122,0.8188801417770225,0.2006365960933316,0.5119284294234593,0.4538152610441767,0.7469879518072289,0.6428571428571429,0.9597981670270826,26.019080659150042,0.6544444444444445,0.4497991967871486,0.5172413793103449,0.5120481927710844,0.0,0.5424836601307189,0.26026556066397644,6.0,False
