strategy,family,direction,symbol,regime,sharpe,wr,active_days
RSI Momentum,Momentum,LONG,AI,WEAK,-1.756,17.6,17
RSI Momentum,Momentum,LONG,AI,CHOPPY,-0.296,52.9,17
RSI Momentum,Momentum,SHORT,AI,ALL,0.506,53.5,144
RSI Momentum,Momentum,SHORT,AI,STRONG,-2.089,21.1,38
RSI Momentum,Momentum,SHORT,AI,NORMAL,-1.074,36.8,19
RSI Momentum,Momentum,SHORT,AI,CAUTIOUS,0.545,72.2,18
RSI Momentum,Momentum,SHORT,AI,WEAK,2.293,78.4,37
RSI Momentum,Momentum,SHORT,AI,CHOPPY,0.628,62.5,32
Donchian/Turtle,Momentum,LONG,AI,ALL,-0.63,47.9,48
Donchian/Turtle,Momentum,LONG,AI,NORMAL,0.44,53.3,15
Donchian/Turtle,Momentum,SHORT,AI,ALL,0.378,50.0,66
Donchian/Turtle,Momentum,SHORT,AI,STRONG,-2.042,15.0,20
Donchian/Turtle,Momentum,SHORT,AI,WEAK,1.635,73.9,23
ADX Trend,Momentum,LONG,AI,ALL,-0.453,45.0,251
ADX Trend,Momentum,LONG,AI,STRONG,1.492,69.7,66
ADX Trend,Momentum,LONG,AI,NORMAL,0.497,54.4,57
ADX Trend,Momentum,LONG,AI,CAUTIOUS,-1.552,28.6,35
ADX Trend,Momentum,LONG,AI,WEAK,-2.696,6.1,33
ADX Trend,Momentum,LONG,AI,CHOPPY,0.236,40.0,60
ADX Trend,Momentum,SHORT,AI,ALL,-0.113,51.9,312
ADX Trend,Momentum,SHORT,AI,STRONG,-2.461,27.5,80
ADX Trend,Momentum,SHORT,AI,NORMAL,-1.576,36.0,50
ADX Trend,Momentum,SHORT,AI,CAUTIOUS,0.262,65.9,41
ADX Trend,Momentum,SHORT,AI,WEAK,2.255,75.0,72
ADX Trend,Momentum,SHORT,AI,CHOPPY,0.38,59.4,69
RSI Revert,Reversion,LONG,APD,ALL,0.707,55.5,110
RSI Revert,Reversion,LONG,APD,STRONG,1.754,70.0,30
RSI Revert,Reversion,LONG,APD,NORMAL,0.078,62.5,24
RSI Revert,Reversion,LONG,APD,WEAK,0.191,44.8,29
RSI Revert,Reversion,LONG,APD,CHOPPY,-0.405,47.1,17
RSI Revert,Reversion,SHORT,APD,ALL,0.086,50.7,144
RSI Revert,Reversion,SHORT,APD,STRONG,-1.223,31.8,44
RSI Revert,Reversion,SHORT,APD,NORMAL,0.295,56.2,32
RSI Revert,Reversion,SHORT,APD,CAUTIOUS,-0.863,50.0,16
RSI Revert,Reversion,SHORT,APD,WEAK,1.476,76.2,21
RSI Revert,Reversion,SHORT,APD,CHOPPY,0.355,54.8,31
Zscore Revert,Reversion,LONG,APD,ALL,1.12,60.0,50
Zscore Revert,Reversion,LONG,APD,STRONG,0.803,62.5,16
Zscore Revert,Reversion,LONG,APD,WEAK,0.643,53.3,15
Zscore Revert,Reversion,SHORT,APD,ALL,-0.624,40.0,50
Zscore Revert,Reversion,SHORT,APD,STRONG,-1.27,20.0,15
Zscore Revert,Reversion,SHORT,APD,CHOPPY,0.211,50.0,16
Keltner Revert,Reversion,LONG,APD,ALL,0.678,53.3,60
Keltner Revert,Reversion,LONG,APD,STRONG,1.033,64.7,17
Keltner Revert,Reversion,LONG,APD,WEAK,0.158,36.8,19
Keltner Revert,Reversion,SHORT,APD,ALL,0.08,48.9,94
Keltner Revert,Reversion,SHORT,APD,STRONG,-0.929,31.8,22
Keltner Revert,Reversion,SHORT,APD,NORMAL,0.617,57.9,19
Keltner Revert,Reversion,SHORT,APD,WEAK,1.022,64.7,17
Keltner Revert,Reversion,SHORT,APD,CHOPPY,0.15,54.2,24
MFI Revert,Reversion,SHORT,APD,ALL,0.096,46.4,28
RSI Momentum,Momentum,LONG,APD,ALL,-0.086,49.3,144
RSI Momentum,Momentum,LONG,APD,STRONG,1.223,68.2,44
RSI Momentum,Momentum,LONG,APD,NORMAL,-0.295,43.8,32
RSI Momentum,Momentum,LONG,APD,CAUTIOUS,0.863,50.0,16
RSI Momentum,Momentum,LONG,APD,WEAK,-1.476,23.8,21
RSI Momentum,Momentum,LONG,APD,CHOPPY,-0.355,45.2,31
RSI Momentum,Momentum,SHORT,APD,ALL,-0.707,44.5,110
RSI Momentum,Momentum,SHORT,APD,STRONG,-1.754,30.0,30
RSI Momentum,Momentum,SHORT,APD,NORMAL,-0.078,37.5,24
RSI Momentum,Momentum,SHORT,APD,WEAK,-0.191,55.2,29
RSI Momentum,Momentum,SHORT,APD,CHOPPY,0.405,52.9,17
Donchian/Turtle,Momentum,LONG,APD,ALL,-0.199,51.2,84
Donchian/Turtle,Momentum,LONG,APD,STRONG,1.12,72.0,25
Donchian/Turtle,Momentum,LONG,APD,NORMAL,-0.473,50.0,18
Donchian/Turtle,Momentum,LONG,APD,CHOPPY,-0.436,40.0,20
