date,health,weight,raw,weight_continuous,captured_binary,captured_graded,captured_continuous
2026-05-27,,1.0,-24.029364587335387,1.0,-0.0,-24.029364587335387,-24.029364587335387
2026-05-28,,1.0,-1.4335912055288356,1.0,-0.0,-1.4335912055288356,-1.4335912055288356
2026-06-01,,1.0,-36.29935994189014,1.0,-0.0,-36.29935994189014,-36.29935994189014
2026-06-04,,1.0,0.19478356367327754,1.0,0.0,0.19478356367327754,0.19478356367327754
2026-06-08,-0.4699811616113059,0.0,0.20053764820021547,0.4240150707109553,0.0,0.0,0.08503098508182304
2026-06-09,-0.41746254777469965,0.0,-38.81681314768582,0.4660299617802403,-0.0,-0.0,-18.08979794764675
2026-06-11,-0.6422038953241452,0.0,101.96655020360092,0.2862368837406838,0.0,0.0,29.186587576066714
2026-06-12,0.00963644612450947,0.5,-88.14655112612353,0.8077091568996076,-88.14655112612353,-44.07327556306176,-71.1967764936894
2026-06-15,-0.3738693012687848,0.0,25.19503812812485,0.5009045589849721,0.0,0.0,12.620309462177936
2026-06-18,-0.21165664520748942,0.5,-34.18429562678233,0.6306746838340085,-0.0,-17.092147813391165,-21.559169836509223
2026-06-22,-0.30175020915109735,0.0,-148.34838423538397,0.5585998326791222,-0.0,-0.0,-82.86738261210361
2026-06-24,-0.6717800787149706,0.0,-34.9978828984342,0.2625759370280235,-0.0,-0.0,-9.189601896053398
2026-06-29,-0.7913636794771899,0.0,46.167302906072536,0.1669090564182481,0.0,0.0,7.70574096542801
2026-06-30,-0.609891837802636,0.0,-5.074227408637393,0.3120865297578912,-0.0,-0.0,-1.5835980231640208
2026-07-01,-0.6070300881277543,0.0,-69.66241406119072,0.3143759294977966,-0.0,-0.0,-21.900186171547205
2026-07-02,-0.5038968796443436,0.0,-85.44637562230332,0.3968824962845251,-0.0,-0.0,-33.912170855444934
2026-07-06,-0.5804191264703515,0.0,-21.092045641743102,0.33566469882371874,-0.0,-0.0,-7.079855147911828
2026-07-09,-0.8054066581131805,0.0,-36.886200651125314,0.15567467350945563,-0.0,-0.0,-5.742247243368203
2026-07-10,-0.743529561451843,0.0,3.9221915635087377,0.2051763508385256,0.0,0.0,0.804740952290374
2026-07-14,-0.8665220936539757,0.0,-18.728092124287336,0.10678232507681944,-0.0,-0.0,-1.9998292212842723
2026-07-15,-0.8688876248204791,0.0,-4.751654034669336,0.10488990014361672,-0.0,-0.0,-0.49840051721348017
2026-07-16,-0.5649610922015198,0.0,0.6623043299247708,0.3480311262387842,0.0,0.0,0.2305025218565413
2026-07-22,-0.5103989592097607,0.0,-57.66350235308401,0.3916808326321914,-0.0,-0.0,-22.585688614144274
2026-07-24,-0.7755789894831764,0.0,-3.950867285843501,0.1795368084134589,-0.0,-0.0,-0.709326102965487
2026-07-28,-0.8088062145476946,0.0,-4.210229109454993,0.1529550283618443,-0.0,-0.0,-0.6439757128465509
2026-07-30,-1.5009504666386673,0.0,54.590483759058806,0.0,0.0,0.0,0.0
2026-07-31,-0.49778311608878684,0.0,-8.858907566777965,0.4017735071289705,-0.0,-0.0,-3.5592743624357572
2026-08-03,-0.46548756731748553,0.0,-26.459952044206535,0.42760994614601155,-0.0,-0.0,-11.314538668649204
