strategy,family,direction,symbol,regime,sharpe,wr,active_days
ADX Trend,Momentum,SHORT,ACLS,STRONG,-2.932,22.2,81
ADX Trend,Momentum,SHORT,ACLS,NORMAL,-0.461,42.6,47
ADX Trend,Momentum,SHORT,ACLS,CAUTIOUS,0.866,60.6,33
ADX Trend,Momentum,SHORT,ACLS,WEAK,2.692,83.3,66
ADX Trend,Momentum,SHORT,ACLS,CHOPPY,0.59,58.3,72
RSI Revert,Reversion,LONG,AI,ALL,-0.121,50.6,233
RSI Revert,Reversion,LONG,AI,STRONG,2.964,82.8,64
RSI Revert,Reversion,LONG,AI,NORMAL,1.469,70.6,34
RSI Revert,Reversion,LONG,AI,CAUTIOUS,-0.514,33.3,30
RSI Revert,Reversion,LONG,AI,WEAK,-2.664,24.1,58
RSI Revert,Reversion,LONG,AI,CHOPPY,-0.827,36.2,47
RSI Revert,Reversion,SHORT,AI,ALL,0.557,51.1,141
RSI Revert,Reversion,SHORT,AI,STRONG,-1.208,27.3,33
RSI Revert,Reversion,SHORT,AI,NORMAL,-0.626,41.7,36
RSI Revert,Reversion,SHORT,AI,WEAK,2.218,85.2,27
RSI Revert,Reversion,SHORT,AI,CHOPPY,0.108,46.9,32
Zscore Revert,Reversion,LONG,AI,ALL,-0.333,46.4,153
Zscore Revert,Reversion,LONG,AI,STRONG,1.887,77.8,36
Zscore Revert,Reversion,LONG,AI,NORMAL,0.613,48.1,27
Zscore Revert,Reversion,LONG,AI,CAUTIOUS,-0.586,42.1,19
Zscore Revert,Reversion,LONG,AI,WEAK,-1.526,30.4,46
Zscore Revert,Reversion,LONG,AI,CHOPPY,-0.367,32.0,25
Zscore Revert,Reversion,SHORT,AI,ALL,0.847,52.9,119
Zscore Revert,Reversion,SHORT,AI,STRONG,-1.443,23.5,34
Zscore Revert,Reversion,SHORT,AI,NORMAL,0.035,50.0,28
Zscore Revert,Reversion,SHORT,AI,WEAK,2.105,94.4,18
Zscore Revert,Reversion,SHORT,AI,CHOPPY,0.961,57.1,28
Keltner Revert,Reversion,LONG,AI,ALL,-0.472,51.0,194
Keltner Revert,Reversion,LONG,AI,STRONG,2.503,76.8,56
