date,ib_range_pts,day_ret_pct,day_range_pct,vol_vol,continuation,post_move_pts,live_regime,hmm_state,hmm_regime
2024-11-18,153.0,0.44023933453324904,1.0896531595077104,0.5751729525024725,-1,5.0,CHOPPY,0,HMM_QUIET
2024-11-19,96.5,1.246223564954683,1.3863171230874183,0.6117172527205595,1,175.5,QUIET,0,HMM_QUIET
2024-11-20,278.75,0.1132366404857129,1.49014600298752,0.6157069819755567,-1,257.75,TRENDING,0,HMM_QUIET
2024-11-21,383.75,-0.2658650794601262,1.8826121842852181,0.8215166219123148,-1,291.0,TRENDING,0,HMM_QUIET
2024-11-22,151.25,0.3066304321685385,0.7623674274307977,0.6952061277745061,-1,112.0,CHOPPY,0,HMM_QUIET
2024-11-25,211.75,-0.6495051389417587,1.432242101256186,0.8669789049826306,1,50.5,TRENDING,0,HMM_QUIET
2024-11-26,106.0,0.28058026386484386,0.5790699062742523,0.6715736498935166,1,42.75,CHOPPY,0,HMM_QUIET
2024-11-27,174.25,-0.5588393336915637,1.2645531076482177,0.6074167493422264,-1,44.25,CHOPPY,0,HMM_QUIET
2024-11-28,28.25,0.07185800857505568,0.17126158710388273,0.5861668268328364,-1,3.25,QUIET,0,HMM_QUIET
2024-11-29,168.0,0.7680675899479154,1.0188896622902814,0.5405831284252862,1,46.25,CHOPPY,0,HMM_QUIET
2024-12-02,170.0,0.8779745993275594,1.1072697247270438,0.7021582287201923,1,45.75,CHOPPY,0,HMM_QUIET
2024-12-03,99.25,0.5730692882124964,0.7290386614991966,0.7435876442381741,1,102.25,QUIET,0,HMM_QUIET
2024-12-04,78.5,0.4855728826220935,0.7552059015781118,0.6996840404964779,1,65.25,QUIET,0,HMM_QUIET
2024-12-05,54.25,-0.3552315389884027,0.5258819841887139,0.5809280529664019,1,59.25,QUIET,0,HMM_QUIET
2024-12-06,160.5,0.6921502024103113,0.8584989065190081,0.6024746170024983,1,5.75,CHOPPY,0,HMM_QUIET
2024-12-09,104.0,-0.6754568586629656,0.9808003701133472,0.6828960128763866,1,85.25,CHOPPY,0,HMM_QUIET
2024-12-10,101.5,-0.5456804170391614,1.1795985185357187,0.561042978403447,-1,146.5,CHOPPY,0,HMM_QUIET
2024-12-11,163.25,0.8290779402739663,1.1428769930871574,0.7349829774111678,1,78.0,CHOPPY,0,HMM_QUIET
2024-12-12,94.5,-0.32843560933448573,0.588879285508499,0.6460906704453411,-1,84.75,QUIET,0,HMM_QUIET
2024-12-13,117.75,-0.08947006194081211,1.1069052534985089,0.6453627414766928,-1,28.0,CHOPPY,0,HMM_QUIET
2024-12-16,100.25,0.9418023242539785,1.1712596177994932,0.7489697514029215,1,110.75,CHOPPY,0,HMM_QUIET
2024-12-17,119.75,-0.19969591758004857,0.6263190142283341,0.8425261450719764,-1,42.5,CHOPPY,0,HMM_QUIET
2024-12-18,105.25,-4.063783082924832,4.648385519147436,0.8097729765094633,-1,928.0,CHOPPY,1,HMM_CHOPPY
2024-12-19,198.0,-1.262761955937668,1.5466205639791604,0.6910808056980053,1,97.0,CHOPPY,0,HMM_QUIET
2024-12-23,199.5,0.48105276547521303,1.3922777154619148,0.6884540808002637,-1,182.25,CHOPPY,0,HMM_QUIET
2024-12-24,142.0,1.010274561011649,1.1500177542581584,0.5576888392305175,1,122.25,CHOPPY,0,HMM_QUIET
2024-12-26,138.0,0.14457118138560662,0.9311750108143797,0.6856116156281714,1,2.25,CHOPPY,0,HMM_QUIET
2024-12-27,350.25,-0.5332845061396381,1.6696611469050044,0.6330034509775971,-1,169.0,TRENDING,0,HMM_QUIET
2024-12-30,164.25,-0.08524651423500013,1.4795525141882897,0.6558338489411518,-1,110.25,CHOPPY,0,HMM_QUIET
2024-12-31,156.5,-1.0766219239373602,1.4343307233407905,0.48489804600318276,1,191.25,CHOPPY,0,HMM_QUIET
2025-01-02,277.5,-0.7319186809068765,2.1582818062581977,0.5295292841120012,1,96.75,TRENDING,0,HMM_QUIET
2025-01-03,180.0,0.9521573231582037,1.4018197828001173,0.8055877053531469,1,162.5,CHOPPY,0,HMM_QUIET
2025-01-06,163.0,0.11158274953698911,1.1526382993408566,0.6301372419817981,-1,120.25,CHOPPY,0,HMM_QUIET
2025-01-07,281.5,-1.9055376461275482,2.417199169410442,0.6882264501464235,1,200.5,TRENDING,1,HMM_CHOPPY
2025-01-08,174.75,0.0245835430738794,1.2432248925933298,0.5244970784577334,-1,72.25,CHOPPY,0,HMM_QUIET
2025-01-10,322.5,-0.7891663619312752,1.521710922109634,0.5701420376011465,1,4.5,TRENDING,0,HMM_QUIET
2025-01-13,154.25,0.9330267387404741,1.3315194490928572,0.564642941296883,-1,241.25,CHOPPY,0,HMM_QUIET
2025-01-14,163.5,-0.4840718989143976,1.6895058432698582,0.5045290401708917,1,47.0,CHOPPY,0,HMM_QUIET
