,static_momentum,static_reversion,adaptive
2024-08-05,0.0,0.0,0.0
2024-08-06,0.0,0.0,0.0
2024-08-07,0.0,0.0,0.0
2024-08-08,0.0,0.0,0.0
2024-08-09,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0
2024-08-13,0.0,0.0,0.0
2024-08-14,0.0,0.0,0.0
2024-08-15,0.0,0.0,0.0
2024-08-16,0.0,0.0,0.0
2024-08-19,0.0,0.0,0.0
2024-08-20,0.0,0.0,0.0
2024-08-21,0.0,0.0,0.0
2024-08-22,0.0,0.0,0.0
2024-08-23,0.0,0.0,0.0
2024-08-26,0.0,0.0,0.0
2024-08-27,0.003512904826645208,0.0,0.0
2024-08-28,-0.019045017560492983,0.0,0.0
2024-08-29,-0.00017872456935352776,0.0,0.0
2024-08-30,0.025417971788767896,0.0,0.0
2024-09-03,-0.014437087299138923,0.0,-0.014437087299138923
2024-09-04,-0.013306935407661175,0.0,0.0
2024-09-05,-3.77076696201073e-05,-0.008409265403323651,-0.008409265403323651
2024-09-06,-0.02200220134523878,-0.04135799600675871,-0.02200220134523878
2024-09-09,0.018678642185855205,0.017363925241916475,0.018678642185855205
2024-09-10,0.03220857196724258,0.0055267557374250155,0.0055267557374250155
2024-09-11,-0.009613714346753566,0.02741661408745759,-0.009613714346753566
2024-09-12,0.01709353643716527,0.036610171308009094,0.036610171308009094
2024-09-13,0.0032955465649739057,0.03223217775885809,0.03223217775885809
2024-09-16,0.007623899193451034,-0.017959896541230445,-0.017959896541230445
2024-09-17,-0.00824065611721401,0.01166412198371609,0.01166412198371609
2024-09-18,-0.013204030451689386,-0.02101829533609974,-0.02101829533609974
2024-09-19,0.010299474545350677,0.0,0.010299474545350677
2024-09-20,0.015601958835276012,0.0,0.0
2024-09-23,0.00456984973733546,0.0,0.0
2024-09-24,0.017256197649920313,0.0,0.0
2024-09-25,0.00321496040527669,0.0,0.0
2024-09-26,0.01201986445300545,0.0,0.0
2024-09-27,-0.006320576585129425,0.0,0.0
2024-09-30,-0.009523854467523423,0.0,0.0
2024-10-01,-0.013541650515901263,0.0,0.0
2024-10-02,0.0045191100307446636,0.0,0.0
2024-10-03,-0.001583472797909787,0.0,0.0
2024-10-04,0.019753648002268056,0.00992359976954571,0.00992359976954571
2024-10-07,-0.005459972886265864,-0.003023428816103013,-0.003023428816103013
2024-10-08,-0.0035922201574768533,0.019126795833682042,0.019126795833682042
2024-10-09,0.0006346669470136401,-0.012060677904804196,-0.012060677904804196
2024-10-10,-0.0009795793532295547,-0.004874760405835121,-0.004874760405835121
2024-10-11,0.00882477479168046,0.01820415621513738,0.01820415621513738
2024-10-14,0.004893921557184506,0.03557209975262843,0.03557209975262843
2024-10-15,-0.005946499739703529,-0.007491828312984931,-0.007491828312984931
2024-10-16,0.024011716906922616,0.015924221519436694,0.015924221519436694
2024-10-17,-0.003299782464668888,-0.013138224178538901,-0.013138224178538901
2024-10-18,0.008953775859038915,0.022968679313160184,0.022968679313160184
2024-10-21,0.0019193744728779466,-0.003252274451592226,-0.003252274451592226
2024-10-22,-0.00615781387158891,-0.011819285176079886,-0.011819285176079886
2024-10-23,-0.01364276127045639,-0.012433800333463122,-0.012433800333463122
2024-10-24,0.011304378254454935,0.07185795840761011,0.07185795840761011
2024-10-25,-0.0040100896806059385,0.01821140070402777,0.01821140070402777
2024-10-28,0.017047582140222534,0.0009375887790970538,0.0009375887790970538
2024-10-29,0.005585878078891222,0.023583730347206178,0.023583730347206178
2024-10-30,-0.0034862950098650813,-0.0071332853275803965,-0.0071332853275803965
2024-10-31,-0.03279260510801563,-0.03889514587040921,-0.03279260510801563
2024-11-01,0.01418211731739801,0.0017947784377567166,0.0017947784377567166
2024-11-04,-0.011745267569590379,-0.008801497330946817,-0.008801497330946817
2024-11-05,0.03722134667684091,0.03259905566591633,0.03722134667684091
2024-11-06,0.07290759851639562,0.05146926506092814,0.07290759851639562
2024-11-07,0.006775139384218476,0.05179602916060411,0.05179602916060411
2024-11-08,0.018371008198781628,0.0882067043111443,0.0882067043111443
2024-11-11,0.016117344989861636,0.0005411715898553382,0.0005411715898553382
2024-11-12,-0.009919828895146537,-0.018909435853036616,-0.018909435853036616
2024-11-13,-0.010968989395852348,-0.005311829290984431,-0.005311829290984431
2024-11-14,-0.02503126039380017,0.0010358466879706984,0.0010358466879706984
2024-11-15,-0.01525714412532052,-0.03679925227861432,-0.01525714412532052
2024-11-18,0.008382228675170418,0.0008534329202155947,0.0008534329202155947
2024-11-19,0.016364698196952514,-0.0023282606236685135,-0.0023282606236685135
2024-11-20,-0.000820223993885421,0.009531613278228232,0.009531613278228232
2024-11-21,0.018373459431444424,0.011833908968907958,0.011833908968907958
2024-11-22,0.027262845262543252,0.003140784558996764,0.003140784558996764
2024-11-25,0.002297213366882125,0.007192681548350417,0.007192681548350417
2024-11-26,0.002576166975637623,-0.005469401747566005,-0.005469401747566005
2024-11-27,-0.018732151664006415,0.0008343621111401115,0.0008343621111401115
2024-11-29,0.011840768506955486,0.010939858498926026,0.010939858498926026
2024-12-02,0.00488748899119712,0.03692244417499313,0.03692244417499313
2024-12-03,-0.0025964395783183583,-0.024533469877148384,-0.024533469877148384
2024-12-04,0.03781793848352684,0.012504517121085468,0.012504517121085468
2024-12-05,0.003115499214520652,-0.011326785328466649,-0.011326785328466649
2024-12-06,0.013740959983911323,0.005852817274327071,0.005852817274327071
2024-12-09,-0.01296017115888557,-0.004156252286578899,-0.004156252286578899
2024-12-10,-0.013589422547790442,-0.005065809243327668,-0.005065809243327668
2024-12-11,0.023541380809154373,0.006160359796038711,0.006160359796038711
2024-12-12,-0.00663392792637321,-0.005526944067632433,-0.005526944067632433
2024-12-13,-0.0007771075787974621,-0.004990363277438431,-0.004990363277438431
2024-12-16,0.013887189195089826,-0.0016697655439827097,-0.0016697655439827097
2024-12-17,-0.013220731621623362,-0.017325489750547485,-0.017325489750547485
2024-12-18,-0.057012621296744725,-0.019005485471043054,-0.057012621296744725
2024-12-19,-0.009186310744573323,-0.0005954723613687077,-0.0005954723613687077
2024-12-20,0.00034348461872735214,0.010744855134100543,0.00034348461872735214
2024-12-23,0.012854941929525984,0.006223150171716041,0.006223150171716041
2024-12-24,0.02076519635393015,0.007856673704642627,0.02076519635393015
2024-12-26,-0.002246440717483996,-0.00010417793701522626,-0.00010417793701522626
2024-12-27,-0.02153923901931154,-0.02192321164719511,-0.02153923901931154
2024-12-30,-0.019763232226626265,-0.01181078241704531,-0.019763232226626265
2024-12-31,-0.02849588424899933,-0.0021448222387428256,-0.0021448222387428256
2025-01-02,-0.014432707885366472,0.026568626277412792,0.026568626277412792
2025-01-03,0.06728532894508588,0.0339068723596982,0.06728532894508588
2025-01-06,0.010396523641843403,0.015160325290103522,0.015160325290103522
2025-01-07,-0.014539215550110174,-0.015130970095367235,-0.014539215550110174
2025-01-08,0.027177643079728364,-0.004778752331924416,-0.004778752331924416
2025-01-10,-0.013286113281602174,-0.01160709782339499,-0.013286113281602174
2025-01-13,0.0017047416455390429,-0.012095196350257872,-0.012095196350257872
2025-01-14,0.01896438730321141,0.008737723862632323,0.008737723862632323
2025-01-15,0.004335341613607342,0.009054853907793436,0.004335341613607342
2025-01-16,0.00866769440161827,0.004199878038566412,0.004199878038566412
2025-01-17,0.010617563104506567,0.008446876113877747,0.010617563104506567
2025-01-21,0.024685035721477535,0.02595648691915038,0.02595648691915038
2025-01-22,0.0032450542319856124,0.04540972009741342,0.04540972009741342
2025-01-23,-0.009050932482368818,0.023642741158225178,0.023642741158225178
2025-01-24,-0.0052274545344287325,0.024536766074110927,0.024536766074110927
2025-01-27,-0.10516482155032916,0.0,-0.10516482155032916
2025-01-28,0.04213703211071852,0.0,0.0
2025-01-29,-0.0033228184681150757,0.01607461633890391,0.01607461633890391
2025-01-30,0.015672410504704158,0.026803803847338086,0.026803803847338086
2025-01-31,-0.007063050100158323,-0.004464149206180624,-0.004464149206180624
